"","ID","ZIP.Code","Community.Area","Primary.Property.Type","Gross.Floor.Area...Buildings..sq.ft.","Year.Built","X..of.Buildings","ENERGY.STAR.Score","Electricity.Use..kBtu.","Natural.Gas.Use..kBtu.","Site.EUI..kBtu.sq.ft.","Source.EUI..kBtu.sq.ft.","Weather.Normalized.Site.EUI..kBtu.sq.ft.","Weather.Normalized.Source.EUI..kBtu.sq.ft.","Total.GHG.Emissions..Metric.Tons.CO2e.","GHG.Intensity..kg.CO2e.sq.ft.","total_site_energy_KBTU","log_total_site_energy_KBTU"
"135",252262,"60647","LOGAN SQUARE","Multifamily Housing",90216,2001,18,89,2106805.6,2687055.3,53.1,104.6,51.5,99.4,531.1,5.9,4790469.6,15.38213900216
"136",252261,"60644","AUSTIN","Multifamily Housing",51000,1924,1,84,54813.8,4485671.8,89,95.7,100.5,107.8,248.4,4.9,4539000,15.3282172814386
"137",252259,"60640","UPTOWN","Multifamily Housing",55300,1929,2,55,998163.9,6189432.4,130,174.2,141.1,183.9,512.7,9.3,7189000,15.788062637966
"138",252258,"60608","NEAR WEST SIDE","Multifamily Housing",326765,2007,2,94,6996381.1,8850921,48.5,95.7,48.2,94.8,1759.7,5.4,15848102.5,16.5785603350327
"139",252256,"60649","SOUTH SHORE","Multifamily Housing",94556,1980,1,89,1160165,3570345.8,50,78.2,54.2,82.6,403.5,4.3,4727800,15.3689705359889
"140",252253,"60642","WEST TOWN","Multifamily Housing",139677,1972,1,47,2842533.8,12581427.7,110.4,158.5,119.1,166.2,1192.2,8.5,15420340.8,16.5511980270225
"141",252252,"60613","LAKE VIEW","Multifamily Housing",125820,1974,1,55,2714426.8,11446364,112.5,163.3,123.9,175.2,1108.3,8.8,14154750,16.4655608147685
"142",252251,"60616","ARMOUR SQUARE","Multifamily Housing",114205,1976,1,83,3256460.6,2420744.4,49.7,111.8,53,120.4,728.8,6.4,5675988.5,15.5517552911853
"143",252250,"60302","UPTOWN","Multifamily Housing",59000,1951,1,49,1085132,5939309.1,119.1,163.5,130.8,175.8,515.5,8.7,7026900,15.7652561992491
"144",252249,"60644","AUSTIN","Multifamily Housing",55995,2011,1,64,1572904.7,1940866.7,62.8,124.6,64.7,124.8,393,7,3516486,15.0729727534909
"145",252248,"60652","ASHBURN","Senior Care Community",74000,2010,1,68,1870420.9,3185319.6,68.3,124.6,71.7,126.1,513.9,6.9,5054200,15.4357301387631
"146",252247,"60611","NEAR NORTH SIDE","Multifamily Housing",121000,1929,1,87,1628332.6,6049738.1,63.5,94.8,69.4,99.3,621.5,5.1,7683500,15.8545857304775
"147",252246,"60639","HERMOSA","K-12 School",65655,1901,1,64,2300142.8,4391645.8,101.9,180.2,109.2,185.1,657.2,10,6690244.5,15.7161609785218
"148",252240,"60657","LAKE VIEW","Medical Office",239957,2015,1,5,16895302.8,18168801.9,146.6,301,NA,NA,4087,17,35177696.2,17.3759228090577
"149",252218,"60654","NEAR NORTH SIDE","Office",80148,1903,1,61,4996099.5,1261819.3,78.1,212.3,80.4,219.6,987.9,12.3,6259558.8,15.6496202613593
"150",252216,"60660","EDGEWATER","Multifamily Housing",160000,1956,1,27,3085672.9,13281877.5,102.3,147.7,110.2,153.5,1274.2,8,16368000,16.6108387671735
"151",252127,"60607","Near West Side","Multifamily Housing",157229,2015,1,79,3942992.5,6487147.8,66.3,122.1,70.9,125.3,1071.3,6.8,10424282.7,16.1596485175265
"152",252126,"60652","WEST LAWN","Movie Theater",72545,1990,1,37,7601755.2,5015199.9,173.9,401.6,180.4,403,1667.5,23,12615575.5,16.35044275931
"153",252125,"60606","LOOP","Hotel",140633,2009,1,4,8507637.8,9351887.1,146.8,279.6,149.7,282.7,2211.7,15.7,20644924.4,16.842980055392
"154",252124,"60649","SOUTH SHORE","Multifamily Housing",63375,1928,1,95,312000.1,4292784.2,72.7,86.6,81.5,95.9,285.5,4.5,4607362.5,15.343166125433
"155",252123,"60619","GREATER GRAND CROSSING","Other",80000,2006,1,19,5238962.2,1588374.5,85.3,226.5,86.9,225.8,1050,13.1,6824000,15.7359563681537
"156",252121,"60611","NEAR NORTH SIDE","Hotel",106200,2012,1,59,5360968.5,2923128.8,78,187.4,80.3,189.8,1143.4,10.8,8283600,15.9297882144796
"157",252112,"60608","SOUTH LAWNDALE","Supermarket/Grocery Store",74000,2006,1,56,11896941.1,8331799.5,273.4,623,277.1,621.5,2635.4,35.6,20231600,16.8227562964762
"158",252107,"60601","LOOP","Performing Arts",140160,2003,1,15,6758912.7,16827524.5,80.9,184.1,80.2,186.7,1487,10.6,11338944,16.2437537302347
"159",252105,"60607","LOOP","Multifamily Housing",290149,2007,1,25,13016844.8,8069636.3,72.7,170.1,75.5,174.9,2827.9,9.7,21093832.3,16.8644912476591
"160",252104,"60618","North Center","Office",150000,1981,3,54,15875971.2,24002.2,106,332.5,106,332.5,2936.7,19.6,15900000,16.5818296671905
"161",252095,"60637","WOODLAWN","Office",93852,2001,1,40,5587426.4,2768564.9,130.7,272.6,134,274.7,1473.4,15.7,12266456.4,16.3223789730198
"162",252094,"60611","NEAR NORTH SIDE","Multifamily Housing",208489,1970,1,11,11324271,18168801.9,54.3,170.6,59.1,185.7,2087.3,10,11320952.7,16.2421657879754
"163",252092,"60626","PULLMAN","Retail Store",66735,2013,2,41,3883562.3,612814.4,67.4,192.4,67.3,190.1,748.4,11.2,4497939,15.3191298498265
"164",252091,"60653","KENWOOD","Other - Recreation",92000,1999,1,42,4023416.8,3341599.8,80.1,175.5,81,178.6,921.4,10,7369200,15.8128197101055
"165",252088,"60656","OHARE","Multifamily Housing",249000,1960,4,100,1408558.9,9027900.1,41.9,55.8,45.3,59.2,739.1,3,10433100,16.1604940023749
"166",252085,"60649","SOUTH SHORE","Multifamily Housing",220876,1926,1,4,2474355.1,27641979.3,136.3,166.6,153,184.1,1924.3,8.7,30105398.8,17.2202150757619
"167",252084,"60628","WASHINGTON HEIGHTS","Worship Facility",78501,1994,1,35,2834642.2,2547102.9,68.6,147.5,73.3,152.4,657.8,8.4,5385168.6,15.4991591772747
"168",252083,"60614","LINCOLN PARK","Worship Facility",59380,1920,1,12,1487127.4,3980567.2,92.1,149,99.6,154.7,485.5,8.2,5468898,15.514587691579
"169",252082,"60641","IRVING PARK","K-12 School",57779,2014,1,70,4018264.6,913022.4,85.3,235,89.1,243.1,789.1,13.7,4928548.7,15.4105551213414
"170",252080,"60654","NEAR NORTH SIDE","Multifamily Housing",176603,1999,1,68,4644779.5,7887067.2,71,129.5,73.6,128.3,1275.1,7.2,12538813,16.3443394315915
"171",252079,"60707","BELMONT CRAGIN","K-12 School",56240,2012,1,80,2655480.4,2245994.9,87.2,190.2,90.1,191.9,608.8,10.8,4904128,15.4055878573995
"172",252078,"60632","GAGE PARK","K-12 School",77088,2013,1,64,3734973.1,2957421.6,86.8,192.4,90.2,193.9,845.5,11,6691238.4,15.7163095270809
"173",252077,"60632","GAGE PARK","K-12 School",63000,2011,1,67,3404815.7,2563142.9,94.7,212.4,98.6,215.6,763.7,12.1,5966100,15.6016040055657
"174",252076,"60632","BRIGHTON PARK","K-12 School",58150,2007,1,85,2935867.3,936993.3,66.6,175.5,69.9,180.6,590.9,10.2,3872790,15.1694857354932
"175",252075,"60632","ARCHER HEIGHTS","K-12 School",174999,2008,1,90,7073239.8,3880134.8,62.6,150.2,64.5,151.5,1509.8,8.6,10954937.4,16.2093008167097
"176",252073,"60661","NEAR WEST SIDE","Office",77969,1910,1,39,6441879.9,2139915.2,82.6,259.4,82.6,259.4,1191.1,15.3,6440239.4,15.6780762713026
"177",252071,"60605","LOOP","Multifamily Housing",363761,2008,1,67,8867774.4,13638280.8,61.9,115.9,65.4,119.7,2358.9,6.5,22516805.9,16.929772517251
"178",252070,"60615","KENWOOD","Multifamily Housing",180000,1971,3,69,3457870.9,12829543,90.5,135.2,96.2,139.5,1318.8,7.3,16290000,16.6060619805782
"179",252069,"60616","DOUGLAS","Hotel",102640,2008,1,44,6992764.3,6970306,68.1,213.9,67.8,212.9,1288.9,12.6,6989784,15.759960212445
"180",252068,"60603","LOOP","Hotel",70265,1906,1,26,4095338.3,2170552.2,89.2,215.4,91.5,217.9,870.1,12.4,6267638,15.6509101271208
"181",252067,"60616","DOUGLAS","Senior Care Community",54931,1976,1,40,2068003,6267428.2,151.7,238,161.3,245.6,714.1,13,8333032.7,15.9357380175136
"182",252066,"60603","LOOP","Multifamily Housing",480820,2009,1,44,18219124.6,5085471.4,48.5,130.1,50.8,136.6,3628.3,7.5,23319770,16.9648120566192
"183",252065,"60603","LOOP","College/University",142063.3,1973,1,9,7936622.5,12674324.8,177,301,183.2,307.7,2375,16.7,25145204.1,17.0401777444771
"184",252064,"60637","HYDE PARK","Library",64028,2009,1,16,3142411.1,3861715.6,360.5,502.8,369.4,513.5,1791,28,23082094,16.9545677233916
"185",252061,"60637","WOODLAWN","College/University",65745,1938,1,30,3144644.2,4400199.9,159.3,284.3,173,298.8,1066.2,16.2,10473178.5,16.164328118437
"186",252060,"60637","WOODLAWN","Office",66084,1970,1,61,2805681.5,1869649.2,99.8,202.4,104.4,206.1,769,11.6,6595183.2,15.7018501223679
"187",252059,"60637","HYDE PARK","Other - Entertainment/Public Assembly",91970,1916,1,76,3388379.1,284040,88.5,177.3,92.1,180.2,936,10.2,8139345,15.9122202679106
