"","carto_id","h2o_indoorallsources_KGAL","energy_star_score","property_gfa_self_reported_SF","property_id","department","property_name","ghg_emissions_indirect_MTCO2e","ghg_emissions_direct_MTCO2e","total_ghg_emissions_intensity_KGCO2eSF","total_ghg_emissions_MTCO2e","h2o_allsources_KGAL","weather_norm_source_eui_KBTUSF","weather_norm_site_eui_KBTUSF","source_eui_KBTUSF","site_eui_KBTUSF","total_site_energy_KBTU","log_total_site_energy_KBTU"
"36",39,0,0,13239,3935292,"Fire","Fire Department: 5/17  Fire Station #17",32,11.4,3.4,43.5,325.2,106.8,45.9,107.2,45.2,598402.8,13.30201938
"37",40,0,0,8550,3935293,"Fire","Fire Department: 5/109   Fire Station #109",24.7,10.8,6.2,35.5,458.2,0,0,192.1,84.6,723330,13.49162083
"38",41,0,0,145000,3935294,"Fire","Fire Department: 5/114 Fire Station #114 Air Ops",467.5,58.5,9.8,526,2267.4,334.7,125.7,337.9,121.3,17588500,16.68275584
"39",42,0,0,470448,3935295,"Fire","Fire Department: 5/30  Fire Station #30  Fire Dept Admin",369,37,5.3,405.9,2222.2,179.6,63.3,184.3,64.7,30437985.6,17.23120191
"40",43,0,0,15250,3935296,"Fire","Fire Department: 5/65  Fire Station # 65",57.9,22.1,5.2,80,648.7,167,74.6,166,71,1082750,13.89501466
"41",44,0,0,15628,3935298,"Fire","Fire Department: 5/11  Fire Station #11",36.5,13.7,3.2,50.1,543.9,0,0,101.7,43.3,676692.4,13.42497209
"42",45,0,0,8323,3935299,"Fire","Fire Department: 5/93 Fire Station #93",27.8,14.5,5.2,42.3,432.1,152.3,71.1,160.1,73.5,611740.5,13.32406345
"43",46,0,0,16460,3935300,"Fire","Fire Department: 5/66  Fire Station #66",42.7,19.7,5.2,62.3,628.8,160.6,75,161.7,72.1,1186766,13.98674252
"44",47,0,0,12000,3935301,"Fire","Fire Department: 5/49  Fire Station #49",59.1,0,5.2,59.1,671.3,186.9,59.5,186.9,59.5,714000,13.47863824
"45",48,0,0,9063,3935302,"Fire","Fire Department: 5/2  Fire Station #2",35.6,10.6,5.3,46.2,444,172.1,72.2,173.2,70.5,638941.5,13.36756818
