"","reported","property_type","gross_area_SF","year_built","h2o_intensity_GALSF","zip","property_uses","site_eui_KBTUSF","energy_star_score","ghg_emissions_MTCO2e","ghg_intens_KGCO2SF","total_site_energy_KBTU","log_total_site_energy_KBTU","electricity_percentage","gas_percentage"
"278","Yes","Mixed Use Property",47500,1900,2.9,"02114","Other",8.4,NA,1900,0.5,400672,12.9008984164687,29,71
"279","Yes","Multifamily Housing",366637,1907,19.6,"02114","Multifamily Housing, Office, Parking",67,70,1907,5.2,24557972.9,17.0165471211919,74.4,25.6
"280","Yes","Office",63750,1917,38,"02114","Office",15.6,100,1917,1.3,995370.1,13.8108699067798,99.5,0.6
"281","Yes","Hospital (General Medical & Surgical)",389552,1973,51.3,"02114","Hospital (General Medical & Surgical)",316.5,2,1973,23.3,123301857.5,18.6301460329035,39,1.4
"282","Yes","Office",111338,1967,1286.2,"02114","Office, Parking",86.7,77,1967,5.8,9657910.4,16.0832878680895,43.8,56.2
"283","Yes","Multifamily Housing",86006,1978,52.9,"02114","Multifamily Housing",75.7,35,1978,4.9,6514481.5,15.6895381798022,35.6,64.4
"284","Yes","Office",150097,1909,13.1,"02114","Medical Office, Office",60.5,75,1909,5.1,9084528.2,16.0220833267083,97.7,2.3
"286","Yes","Multifamily Housing",21167,1994,69.2,"02114","Multifamily Housing",211.9,1,1994,12.9,4484677.8,15.3161772114296,24.6,75.4
"287","Yes","Office",50400,1900,11.3,"02114","Office",51,88,1900,4.1,2568154.4,14.7586980665952,87.3,12.7
"288","Yes","Office",39000,1920,38.7,"02114","Office",170.3,1,1920,14.6,6642381.3,15.7089810866785,100,NA
"289","Yes","Multifamily Housing",102966,1978,44.6,"02114","Multifamily Housing",71.2,77,1978,4.5,7329451.8,15.8074112825258,32.2,67.8
"290","Yes","Parking",40784,1975,2.6,"02114","Fitness Center/Health Club/Gym, Parking, Pre-school/Daycare",85.6,NA,1975,6.1,3490539.1,15.0655667521634,54.4,45.6
"291","Yes","Multifamily Housing",371580,2008,38.1,"02114","Multifamily Housing, Parking",62.4,50,2008,4.4,23200206,16.9596717159075,55.3,44.6
"292","Municipal ","Police Station",37433,2000,78.8,"02114","Police Station",144.6,NA,2000,9.5,5414491.4,15.5045895097217,39.3,60.7
"293","Yes","Multifamily Housing",9630,1899,29.4,"02114","Multifamily Housing",30.8,100,1899,2.4,296284.4,12.5990750828337,100,NA
"294","Municipal ","Residence Hall/Dormitory",32000,2000,5.1,"02114","Residence Hall/Dormitory",9.4,100,2000,0.8,301706.1,12.6172086437031,100,NA
"295","Yes","College/University",175791,1920,6.8,"02114","College/University",34.4,NA,1920,2.3,6053803.3,15.6161972771209,8.5,0.1
"296","Municipal ","Other",23408,2000,27,"02114","Other",247.3,NA,2000,15.2,5788751.5,15.5714271959004,25.4,74.6
"297","Yes","Multifamily Housing",26061,1899,60.4,"02114","Multifamily Housing",41.1,56,1899,3.5,1071055.5,13.8841551688155,100,NA
"298","Yes","Multifamily Housing",35000,1977,44.6,"02114","Multifamily Housing",95.9,7,1977,6.6,3358104.7,15.0268872954069,31.9,42.8
"300","Yes","Hotel",224602,1968,37676.1,"02114","Hotel, Swimming Pool",70.5,85,1968,4.9,15839188.5,16.5779977119776,52,48
"301","Yes","Multifamily Housing",509460,1962,33.8,"02114","Multifamily Housing",77.1,34,1962,5,39275131.1,17.4861020801017,36.9,63.1
"302","Yes","Multifamily Housing",994177,1975,25,"02114","Multifamily Housing, Parking, Swimming Pool",36,87,1975,2.8,35789937.4,17.3931773336488,78.5,21.5
"303","Yes","Office",295722,1966,5.9,"02114","Convenience Store without Gas Station, Fast Food Restaurant, Office, Parking",59.1,NA,1966,4.7,17473530.5,16.6761977509889,82.4,17.5
"304","Yes","Medical Office",193230,1974,21.9,"02114","Medical Office",77,64,1974,6.6,14871392.6,16.5149499656989,100,NA
"305","Yes","Other - Specialty Hospital",270000,1999,22.7,"02114","Other - Specialty Hospital, Parking",217.3,NA,1999,16.1,58678383.2,17.8875819580306,41.2,NA
"306","Yes","Hospital (General Medical & Surgical)",3912529,1811,24.8,"02114","Hospital (General Medical & Surgical), Parking",249.1,20,1811,5.5,974754814.8,20.6976965253377,41.5,0.4
"307","Yes","Office",223538,1931,16.4,"02114","Office",165.8,3,1931,12.9,37068162,17.4282689920256,76.1,23.9
"308","Yes","Office",47040,1895,4.3,"02114","Office",53.4,95,1895,3.7,2509747.9,14.7356928678167,50.8,49.2
"309","Yes","Senior Care Community",72000,1964,33,"02114","Senior Care Community",105.8,58,1964,6.5,6607284.8,15.7036833558799,24.7,75.3
"310","Yes","Multifamily Housing",115000,1975,40,"02114","Multifamily Housing",76.5,6,1975,5.9,8797601.9,15.9899897309468,75.6,24.4
"311","Yes","Office",120000,1900,1,"02114","Office",2.4,NA,1900,0.2,283312,12.554304042846,100,NA
"313","Yes","Office",80528,1986,62.1,"02114","Office, Parking",17.8,100,1986,1.3,1433997.3,14.1759764172947,58.3,41.7
"314","Yes","Office",144088,1972,14.9,"02114","Office, Parking",65.9,85,1972,5,9502089.9,16.0670223218503,68.1,31.9
"315","Yes","Office",82876,1972,19.2,"02114","Office",293.1,NA,1972,24.2,24293415.7,17.0057159127471,91.5,8.6
"316","Yes","Multifamily Housing",548844,1985,46.5,"02114","Multifamily Housing",64,62,1985,4,35129829.1,17.3745611594422,29.9,70.1
"317","Yes","Museum",460555,1951,19.5,"02114-1099","Museum, Parking",119.9,NA,1951,8.9,55237268.2,17.8271484319878,43.7,3.4
"318","Yes","College/University",110327,1995,55.1,"02115","College/University",107.2,NA,1995,9.2,11826630.5,16.285864368672,100,NA
"319","Yes","College/University",69739,2004,25.1,"02115","College/University",39.1,NA,2004,2.8,2724332.9,14.8177341487698,55.7,44.3
"320","Municipal ","K-12 School",35055,1904,5.4,"02115","K-12 School",47.8,97,1904,2.9,1676101.3,14.3319809997251,23.4,76.6
"321","Yes","Library",162771,1963,7.2,"02115","Library",182.3,NA,1963,12.1,29665212.6,17.205485624344,24,NA
"322","Yes","Multifamily Housing",152987,1972,36.1,"02115","Multifamily Housing",67.6,77,1972,4.2,10339940.5,16.151524672676,26.4,73.6
"323","Yes","Residence Hall/Dormitory",165820,1927,23.9,"02115","Residence Hall/Dormitory",108.6,52,1927,7.6,18001161.9,16.7059468637772,25.9,NA
"324","Yes","Multifamily Housing",21779,1918,10.2,"02115","Multifamily Housing",1.7,NA,1918,0.1,37996.9,10.5452598564334,NA,100
"325","Yes","College/University",495301,2009,35.1,"02115","College/University",78,NA,2009,5.5,38623591.5,17.4693738264979,53.4,46.6
"326","Yes","Multifamily Housing",118301,1900,30.4,"02115","Multifamily Housing",25.8,99,1900,2.2,3052197.8,14.9313724792471,100,NA
"328","Yes","Mixed Use Property",37495,1950,4.5,"02115","Office, Retail Store",89.9,NA,1950,6.8,3369655.4,15.0303210419072,71,29
"329","Yes","College/University",110798,1903,35.3,"02115","College/University",79.6,NA,1903,4.8,8817574.6,15.9922574015045,22.1,77.9
"330","Yes","College/University",148145,1912,18.3,"02115","College/University",186.3,NA,1912,13.1,27597902.3,17.1332503241758,53.1,46.9
"332","Yes","Multifamily Housing",102004,1920,55.2,"02115","Multifamily Housing",75.4,59,1920,4.7,7687811.7,15.8551467366164,26.7,73.3
"333","Yes","Multifamily Housing",157450,1900,17.3,"02115","Multifamily Housing",30.4,80,1900,2.6,4778772.2,15.3796942095483,100,NA
"334","Yes","Multifamily Housing",30702,1910,55.6,"02115","Multifamily Housing",81.5,87,1910,4.8,2502383.9,14.7327543954889,16.9,83.1
"335","Voluntary","College/University",53219,1909,12.7,"02115","College/University",37.8,NA,1909,2.3,2011374.5,14.5143288771753,21.3,78.7
"336","Yes","Office",247733,1972,21.1,"02115","Office",146.2,44,1972,10.6,36219268.2,17.4051018059084,32.7,NA
"337","Yes","College/University",95631,1995,23.7,"02115","College/University",65.4,NA,1995,5.6,6253003.5,15.6485724662806,100,NA
"339","Yes","Multifamily Housing",469624,2006,52.7,"02115","Bank Branch, Food Sales, Multifamily Housing, Parking, Retail Store",84.1,NA,2006,6,39508187.1,17.4920184767487,54.9,45.1
"340","Yes","Other",61540,1920,8.6,"02115","Other",138.7,NA,1920,9.9,8538318.6,15.9600746611344,36.2,NA
"341","Yes","Multifamily Housing",44432,1891,36,"02115","Multifamily Housing",76.4,64,1891,4.6,3394224.8,15.0375859571144,20.8,79.2
"342","Yes","Medical Office",40251,1909,34.6,"02115","Medical Office",218,7,1909,15.1,8775618.2,15.9874877749772,29.4,0.2
"343","Yes","Laboratory",70298,2005,13.3,"02115","Laboratory",313.3,NA,2005,20.8,22021909.9,16.9075484202841,20,0
"344","Yes","Office",46916,1978,2.7,"02115","Office, Parking",52.7,94,1978,3.6,2471894.5,14.7204954186555,47.8,52.2
"345","Municipal ","K-12 School",31654,1916,4.4,"02115","K-12 School",60.1,95,1916,3.5,1903742.5,14.4593322435908,15.1,84.9
"346","Yes","Parking",163000,1987,0.3,"02115","Parking",5.7,NA,1987,0.5,931203.1,13.7442326849916,100,NA
"348","Yes","Laboratory",133645,1905,57.9,"02115","Laboratory",193,NA,1905,13.1,25792638.5,17.0655996797203,31,NA
"349","Yes","Hotel",98468,1961,68.4,"02115","Hotel, Parking, Swimming Pool",68.5,93,1961,5,6746586.9,15.724547290523,36.3,28.6
"350","Yes","Laboratory",133445,1905,23.5,"02115","Laboratory",225.7,NA,1905,15.5,30119587.5,17.2206862655831,30.4,0.1
"351","Yes","Multifamily Housing",650000,1973,21.6,"02115","Multifamily Housing",54.8,73,1973,3.6,35632957.6,17.3887815428375,39.1,60.9
"352","Yes","Other - Education",110000,1987,8.4,"02115","Other - Education",47.1,NA,1987,3.8,5186329.6,15.4615367987881,87.8,12.2
"353","Yes","Laboratory",136368,1905,46.1,"02115","Laboratory",210.8,NA,1905,14.7,28746311.8,17.174020031761,45.5,0
"354","Yes","College/University",60000,1905,9.8,"02115","College/University",63.7,NA,1905,4.2,3820085.1,15.1557832578215,40,60
"355","Yes","Mixed Use Property",52520,1880,16.1,"02115","Bar/Nightclub, Manufacturing/Industrial Plant, Office, Restaurant",15.7,NA,1880,1.3,823626.1,13.6214719437745,100,NA
"356","Yes","Museum",70000,2011,47.9,"02115","Museum",154.3,NA,2011,12,10804451.5,16.1954687830992,77,23
"357","Yes","Office",72877,1905,1.7,"02115","Office",144,4,1905,10.8,10493400.4,16.1662570841845,59.9,NA
"360","Yes","College/University",180027,1905,0.6,"02115","College/University",221.8,NA,1905,14.8,39937049.3,17.5028150049053,21,0
"361","Yes","Mixed Use Property",87751,1927,42.1,"02115","Office, Restaurant, Retail Store",132.4,60,1927,9.4,11618740.6,16.2681299214144,54.8,45.2
"362","Yes","Museum",63000,1903,21.1,"02115","Museum",96.2,NA,1903,5.8,6058531.8,15.6169780514639,21.6,78.4
"363","Yes","College/University",143000,1867,10.3,"02115","College/University",65.8,NA,1867,4.4,9405965.4,16.0568546629773,44.4,55.6
"365","Voluntary","Multifamily Housing",31104,1978,41.6,"02115","Multifamily Housing",86.6,68,1978,6.6,2693336.6,14.8062913546997,20.1,3.9
"367","Yes","Office",65700,1901,9.7,"02115","Office",45.6,80,1901,3.9,2997979.8,14.9134492197968,100,NA
"368","Yes","College/University",551300,1904,16.5,"02115","College/University, Parking",139.4,NA,1904,8.8,76835503.4,18.1571773751518,42.9,57.1
"369","Yes","Multifamily Housing",40461,1899,41.9,"02115","Multifamily Housing",83.1,74,1899,4.9,3361452.5,15.0278837301949,17.5,82.5
"370","Yes","Fitness Center/Health Club/Gym",100961,2014,68.7,"02115","Fitness Center/Health Club/Gym, Swimming Pool",191.8,NA,2014,12.2,19359876.6,16.7787132658254,32.3,67.7
"371","Yes","Office",49494,1965,14.9,"02115","Office",121.4,71,1965,8.9,6007457.9,15.6085122386614,47.1,12.7
"373","Yes","College/University",54000,1956,35.9,"02115","College/University",128.8,NA,1956,7.6,6953689,15.754782868088,18.5,81.5
"374","Yes","Office",99645,1989,11.2,"02115","Financial Office, Office, Parking, Retail Store",104,75,1989,7.7,10363905.5,16.1538397025214,65.2,NA
