"","reported","property_type","gross_area_SF","year_built","h2o_intensity_GALSF","zip","property_uses","site_eui_KBTUSF","energy_star_score","ghg_emissions_MTCO2e","ghg_intens_KGCO2SF","total_site_energy_KBTU","log_total_site_energy_KBTU","electricity_percentage","gas_percentage"
"444","Yes","College/University",58390,1950,7.9,"02115","College/University",80.8,NA,1950,5.8,4719967.4,15.3673124507582,56.6,43.4
"445","Municipal ","Fire Station",11580,2000,13.5,"02115","Fire Station",48.7,NA,2000,3.7,564366.7,13.2434594965115,71.1,28.9
"446","Yes","Multifamily Housing",45570,1978,43.8,"02115","Multifamily Housing",72.7,70,1978,5,3310836.7,15.0127114948661,19.8,33.5
"447","Yes","Multifamily Housing",80731,1995,48.2,"02115","Multifamily Housing",96.9,65,1995,6.1,7820870.6,15.8723064362481,28.9,71.1
"448","Voluntary","College/University",347844,2013,30.9,"02115-5924","College/University",1.4,NA,2013,0.1,493645.2,13.109572319504,30.9,69.1
"449","Yes","Mixed Use Property",40000,1900,19.8,"02116","Office, Restaurant",53.8,94,1900,3.6,2153865,14.5827744606397,41.1,58.9
"450","Yes","Multifamily Housing",177636,2001,32,"02116","Multifamily Housing, Other - Services, Parking, Restaurant",131.2,1,2001,9.1,23303856.2,16.9641294069879,43.6,11.1
"452","Yes","Office",567714,2001,12,"02116","Financial Office, Office, Other, Parking",68,81,2001,5.8,38580609.4,17.4682603610662,100,NA
"453","Yes","Multifamily Housing",327174,1987,36.7,"02116","Multifamily Housing, Retail Store",58.3,68,1987,4.1,19070423.9,16.7636492059609,52.2,47.8
"454","Yes","Multifamily Housing",203204,1926,17,"02116","Food Sales, Multifamily Housing",57.5,21,1926,4.4,11685975.1,16.2738999713395,60.3,15.9
"455","Yes","Other",843168,1969,1.7,"02116","Bank Branch, Medical Office, Office, Other",19.2,NA,1969,1.6,16147931,16.5973024879709,96.6,3.3
"456","Yes","Office",1232000,1983,24.7,"02116","Enclosed Mall, Office, Parking",104,NA,1983,8.8,128070381.3,18.6680905246759,97,3
"457","Yes","Mixed Use Property",395858,2009,31,"02116","Hotel, Multifamily Housing, Parking",68.6,74,2009,5,27155104.2,17.1170755866744,43.6,9.6
"458","Yes","Hotel",863000,1983,30.6,"02116","Hotel",80.9,67,1983,6.2,69836391.8,18.061665804358,56,7.1
"459","Yes","Office",287141,1990,7.6,"02116","Office, Parking, Restaurant",55.8,86,1990,4.8,16020600.2,16.5893859645706,100,NA
"460","Yes","Multifamily Housing",172000,2002,25.3,"02116","Multifamily Housing, Parking",131.1,NA,2002,8.7,22545757.7,16.9310574776115,40.5,59.5
"461","Yes","Multifamily Housing",42860,1927,35.9,"02116","Multifamily Housing",83.4,84,1927,6.3,3573715.2,15.0891162849007,14.5,2.6
"462","Yes","College/University",176296,1891,12.2,"02116","College/University",79.7,NA,1891,6.2,14050928,16.4581990013849,61.7,NA
"463","Yes","Other",115680,1967,13,"02116","Other, Parking",1.8,NA,1967,0.2,208300.1,12.2467351073258,100,NA
"464","Yes","Hotel",276439,1971,66.9,"02116","Hotel",107.8,70,1971,6.9,29787716.4,17.209606665155,35.1,64.9
"465","Yes","Retail Store",49896,1960,5.6,"02116","Retail Store",13.8,99,1960,1.2,689424.9,13.4436130507764,100,NA
"466","Yes","Office",379000,2003,29.6,"02116","Data Center, Office, Parking, Restaurant",91.7,NA,2003,7.8,34802067.5,17.3651873538995,100,NA
"467","Yes","Multifamily Housing",444893,2009,12,"02116","Food Sales, Multifamily Housing, Parking, Retail Store",52.3,NA,2009,3.7,23271366.6,16.96273426153,55.7,44.3
"468","Yes","Office",51150,1929,15.5,"02116","Office",85.1,60,1929,6.1,4355025.9,15.2868411154382,58.7,41.3
"469","Yes","Hotel",334522,1985,65.9,"02116","Hotel",138.2,26,1985,9.2,46231746.1,17.6491772650976,40.7,59.3
"470","Yes","Mixed Use Property",146533,1930,39.6,"02116","Barracks, Fast Food Restaurant, Hotel, K-12 School, Office, Other, Other - Lodging/Residential, Other - Services, Performing Arts, Self-Storage Facility, Social/Meeting Hall",110,NA,1930,8.4,16116935.1,16.5953811466928,54.4,NA
"471","Yes","Mixed Use Property",120000,1890,19.5,"02116","Office, Personal Services (Health/Beauty, Dry Cleaning, etc.), Restaurant, Retail Store",110.4,84,1890,8.6,13245871.1,16.3991964467401,34.2,NA
"472","Yes","Residence Hall/Dormitory",199874,2006,27.6,"02116","Residence Hall/Dormitory",133.7,14,2006,10,26713522.3,17.1006804483499,43,0.6
"473","Yes","Worship Facility",43779,1861,16.1,"02116","Worship Facility",54.2,42,1861,3.8,2373093.6,14.6797049783821,18,NA
"474","Municipal ","K-12 School",36400,1885,1.9,"02116","K-12 School",49.1,85,1885,3.4,1785873.3,14.3954180972527,52.3,47.7
"475","Municipal ","K-12 School",80364,1911,21.7,"02116","K-12 School",52.4,95,1911,3.1,4207254.7,15.252320902694,17.1,82.9
"476","Yes","Other - Education",65000,1879,1,"02116","Other - Education",84.5,NA,1879,6.4,5493920.8,15.5191527298072,69.7,30.3
"477","Voluntary","Office",757241,2013,15.1,"02116","Office, Parking, Restaurant",77.8,89,2013,5.6,58880477.6,17.891020143765,57,43
"478","Yes","Multifamily Housing",98982,1871,33,"02116","Multifamily Housing",76.4,2,1871,5.8,7562676.9,15.8387357727832,72,28
"479","Yes","Office",52191,1899,4.3,"02116","Office, Retail Store",45.3,NA,1899,3.5,2364744.5,14.6761805402455,21.7,1.7
"480","Yes","Office",522349,1958,9.2,"02116","Office, Parking, Restaurant",74.1,88,1958,5.4,38705477.8,17.4714916932031,62.1,37.9
"481","Yes","Multifamily Housing",180000,1968,16.1,"02116","Multifamily Housing, Parking",59,69,1968,3.8,10628599.3,16.1790589730564,35.9,64.1
"482","Yes","College/University",98744,1931,12,"02116","College/University",70.3,NA,1931,5.9,6939512.6,15.7527420994692,95.5,NA
"483","Yes","Hotel",65000,2012,0,"02116","Bank Branch, Hotel",198.1,20,2012,12.9,12879186.5,16.3711231167079,36.4,63.6
"484","Yes","Multifamily Housing",450,1985,882924330,"02116","Multifamily Housing",40.8,99,1985,2.8,2171488.5,14.5909234350646,45.1,54.9
"486","Municipal ","K-12 School",17640,1999,3.6,"02116","K-12 School",43,96,1999,2.9,758051.5,13.5385066042691,43.4,56.6
"487","Yes","Financial Office",1624928,1922,9032.3,"02116","Financial Office",37.1,97,1922,3.2,60337745.3,17.9154684244077,100,NA
"488","Yes","Office",2039631,1976,11.2,"02116","Data Center, Office, Parking",92,81,1976,7,187654257.3,19.050111770738,52.5,NA
"489","Municipal ","Fire Station",11376,2000,17.7,"02116","Fire Station",101,NA,2000,8.5,1148891.3,13.9543079483522,95.8,4.2
"490","Yes","Mixed Use Property",48000,1995,12.6,"02116","Office, Parking, Retail Store",43.6,51,1995,3.7,2091147.7,14.5532236119755,100,NA
"491","Yes","Hotel",798170,1980,23.4,"02116","Hotel, Multifamily Housing, Parking, Swimming Pool",64.5,51,1980,4.9,51507326.9,17.7572346254175,59,16.1
"492","Yes","Multifamily Housing",63257,1986,25,"02116","Multifamily Housing, Retail Store",33.6,NA,1986,2.2,2124357,14.5689797263163,42.4,57.6
"495","Yes","College/University",45388,1926,12.7,"02116","College/University",107.1,NA,1926,8,4859248.3,15.396394313132,43,NA
"496","Yes","Social/Meeting Hall",48000,1888,13.5,"02116","Social/Meeting Hall",122.9,NA,1888,8.7,5900934.9,15.59062135395,21.2,NA
"498","Yes","Office",524038,1991,10.4,"02116","Office, Parking",57.7,89,1991,4.9,30237173.6,17.224582639299,100,NA
"499","Yes","Multifamily Housing",221146,1983,57.9,"02116","Multifamily Housing",58.8,NA,1983,4,13007337.5,16.3810241792759,44,56
"500","Yes","Other - Education",46025,1899,141.5,"02116","Office, Other - Education, Other - Restaurant/Bar",215.6,NA,1899,15.1,9922394,16.1103047807907,53,47
"501","Yes","Performing Arts",24622,1910,15.5,"02116","Performing Arts",189,NA,1910,11.5,4653347.6,15.3530974325283,24.4,75.6
"503","Yes","Multifamily Housing",53000,1871,84.7,"02116","Multifamily Housing",60,55,1871,4.5,3177484.2,14.9716003095708,68.3,31.7
"504","Yes","Hotel",209999,2005,66.7,"02116","Hotel",104.4,28,2005,7.2,21925685.1,16.9031693431688,49.3,50.7
"505","Yes","Multifamily Housing",39743,1900,9.8,"02116","Multifamily Housing, Parking",14.5,NA,1900,1.2,575844.2,13.263592416979,96.2,3.8
"506","Yes","Multifamily Housing",1e+05,1911,18.6,"02116","Multifamily Housing",57.3,18,1911,4.4,5729118.6,15.5610722548696,74.1,25.9
"507","Yes","Office",64540,1930,9.3,"02116","Office",58.3,86,1930,4.6,3759642.5,15.1398344310585,82.2,17.8
"508","Yes","Other",36000,1885,11.3,"02116","Other",45.2,NA,1885,2.7,1627209,14.3023768352346,26.1,73.9
"509","Yes","Mixed Use Property",357614,1988,24.7,"02116","Multifamily Housing, Office, Other, Other - Services, Parking, Restaurant",93.1,14,1988,7.4,33286148,17.3206518924327,83.2,16.8
"511","Yes","Mixed Use Property",5e+05,1922,82.6,"02116","Office",55.4,100,1922,3.4,27690554.8,17.1366019310605,23,77
"512","Yes","Multifamily Housing",115806,1985,68.4,"02116","Multifamily Housing",52.5,32,1985,4.5,6083210.4,15.6210431409013,100,NA
"514","Yes","Office",63054,1899,16.4,"02116","Office, Other, Retail Store",98.4,64,1899,6.8,6204530.7,15.6407903412062,26.6,15.5
"515","Yes","Hotel",172000,2004,46.2,"02116","Hotel",117.5,40,2004,8,20206158,16.8214979673988,45.9,54.1
"516","Yes","Multifamily Housing",232496,1900,67.1,"02116","Multifamily Housing",86.7,NA,1900,5.1,20158935.6,16.8191582021546,19.3,80.7
"517","Yes","Retail Store",45762,1927,18.3,"02116","Office, Retail Store, Self-Storage Facility",4.3,100,1927,0.4,194804.3,12.1797507438689,100,NA
"518","Yes","Office",149000,1930,11.2,"02116","Office",35.5,97,1930,3,5292093.9,15.4817245478237,100,NA
"519","Yes","Office",86000,1900,35.6,"02116","Office, Other",70,NA,1900,4.6,6016432.7,15.6100050668924,41,59
"520","Yes","Office",229043,1984,10.3,"02116","Data Center, Office, Retail Store",73.3,NA,1984,6.3,16779653.8,16.6356776270861,100,NA
"521","Yes","Hotel",67624,1899,36.3,"02116","Hotel",132.5,47,1899,7.6,8957665.4,16.0080201929643,12.4,87.6
"522","Yes","Office",128641,1906,8.1,"02116","Office",52,92,1906,3.8,6694264.9,15.7167617327221,60.7,39.3
"523","Yes","Hotel",84180,1925,46.5,"02116","Hotel",70.5,32,1925,5.4,5931006.9,15.595704554199,52.2,0.7
"524","Yes","Office",164124,1937,23.3,"02116","Fitness Center/Health Club/Gym, Office, Parking",45.8,84,1937,3.8,7515559.5,15.8324860294957,94.5,5.5
"525","Yes","Multifamily Housing",498885,2015,16.3,"02116","Multifamily Housing, Parking",47.6,70,2015,3.5,23737207.7,16.9825543201775,60.7,39.3
"526","Yes","Retail Store",44000,1863,11,"02116","Retail Store",90,47,1863,6.2,3960978.5,15.1920016486671,65.2,34.8
"527","Yes","Multifamily Housing",42998,1971,46.4,"02116","Multifamily Housing, Retail Store",125.1,44,1971,7.2,5378949.5,15.4980036528492,13.4,86.6
"528","Yes","Hotel",95414,1891,49.5,"02116","Hotel",96.6,50,1891,6.7,9220001,16.0368857039926,49.3,50.7
"529","Yes","Other",85000,1850,0.4,"02116","Other",18,NA,1850,1.1,1527780.7,14.2393267174661,25.9,74.1
"530","Yes","Multifamily Housing",531506,1965,65.1,"02116","Multifamily Housing",73.9,84,1965,4.4,39284868.2,17.4863499696163,19,81
"531","Yes","Multifamily Housing",123197,1977,67.7,"02116","Multifamily Housing",122.8,37,1977,6.9,15134531,16.5324895121811,8.9,91.1
"532","Yes","Office",744169,1987,16.1,"02116","Office, Parking, Retail Store",58.1,86,1987,5,43254304.5,17.5826073124013,100,NA
"533","Yes","Office",682117,1940,13.5,"02116","Bank Branch, Office, Other, Parking, Personal Services (Health/Beauty, Dry Cleaning, etc.), Retail Store, Swimming Pool",85.8,84,1940,5.9,58539439.7,17.8852112679489,49.3,50.7
"534","Yes","Multifamily Housing",224000,2004,29,"02116","Multifamily Housing",128.9,1,2004,9.1,28866166.1,17.1781807440676,53.3,46.7
"536","Yes","Office",104036,1963,15.6,"02116","Office",57.3,94,1963,4.2,5965186.8,15.6014509290339,32.9,1
"537","Yes","College/University",146942,2010,45.1,"02116","College/University",182.5,NA,2010,13.6,26819066.7,17.1046236365546,46.2,6.3
"538","Yes","Office",97790,1972,3.1,"02116","Office",70.9,79,1972,5.4,6932443.3,15.751722877571,49.5,NA
"539","Voluntary","Multifamily Housing",17839,1929,34.3,"02116","Multifamily Housing, Parking",25.6,100,1929,2,456016.8,13.0302849299231,77.4,22.6
"540","Yes","Office",36801,1910,2.7,"02116","Office",108.1,4,1910,9.2,3977960.1,15.1962797081798,100,NA
"541","Yes","Office",49140,1965,12.5,"02116","Office",96.1,58,1965,6.6,4723491.2,15.3680587451643,46.9,53.1
"542","Yes","Hotel",134852,1900,61.1,"02116","Hotel, Restaurant",86.2,81,1900,6.1,11628776.1,16.2689932824997,53.1,46.9
"543","Yes","Worship Facility",54860,1875,0.8,"02116","Worship Facility",52.4,NA,1875,3.6,2875025.4,14.8715720669572,50.7,49.3
"544","Municipal ","Library",25933,2000,84.7,"02116","Library",120.1,NA,2000,7.7,3114961.9,14.9517274789892,33.4,66.6
"545","Yes","Worship Facility",35776,1972,6.9,"02116","Other - Entertainment/Public Assembly, Parking",63.6,NA,1972,3.8,2276327.2,14.6380738248799,19.7,80.3
"546","Yes","Office",211351,1983,12,"02116","Bank Branch, Office, Other, Retail Store",50.8,84,1983,4.3,10736867.5,16.1891939378353,100,NA
"547","Municipal ","Library",930000,2000,33,"02116","Library",96,NA,2000,7.1,89296487.2,18.3074727080069,40,NA
"548","Yes","Hotel",130410,1900,65.5,"02116","Hotel",125.2,70,1900,8.4,16320987.9,16.6079624387564,43.7,56.3
"549","Yes","Mixed Use Property",98500,1988,57.1,"02116","Office, Parking, Restaurant, Retail Store",14.9,NA,1988,1.1,5886600.5,15.5881892243182,100,NA
"550","Yes","Office",269327,1913,9.2,"02116","Office, Other, Restaurant",52.1,91,1913,4.2,14029305.4,16.4566589426564,82.7,17.3
"551","Yes","Mixed Use Property",54384,1860,27.8,"02116","Multifamily Housing, Restaurant",99.2,NA,1860,7.3,5396097.7,15.5011866021503,63.3,36.7
"552","Yes","Mixed Use Property",55720,1905,119.7,"02116","Restaurant, Retail Store",305.3,NA,1905,21.1,17008799,16.6492413563532,50,50
"553","Yes","Multifamily Housing",268850,2014,20.8,"02116","Multifamily Housing",49.3,30,2014,3.9,13258304,16.4001346310726,81.9,18.1
"554","Yes","Multifamily Housing",73000,1900,45.7,"02116","Multifamily Housing",62.1,96,1900,3.6,4536368.9,15.3276374482433,16.1,83.9
"558","Yes","Office",155775,1985,7.9,"02116","Office, Parking, Retail Store",59.1,84,1985,5.1,9208779.4,16.0356678695898,100,NA
"559","Yes","Multifamily Housing",159042,1900,41.9,"02116","Multifamily Housing",19.9,100,1900,1.6,3165440.3,14.9678027192086,83.3,16.7
"560","Municipal ","K-12 School",78258,1959,72.4,"02116","K-12 School",59.1,93,1959,3.4,4628266.1,15.347692863482,14.5,85.5
"561","Yes","Performing Arts",172349,1900,11.6,"02116","Performing Arts",70.7,NA,1900,5.4,12177499.4,16.3151004953916,51.8,0.4
"562","Yes","Multifamily Housing",326000,2004,27.8,"02116","Multifamily Housing",130.2,1,2004,8.6,42444903.4,17.5637174022652,39.1,60.9
"563","Yes","Hotel",312000,1971,34.7,"02116-5442","Hotel, Parking",100.4,48,1971,7.7,31337355.9,17.2603214231134,62.6,13.1
"564","Yes","Medical Office",89406,1969,44.5,"02118","Medical Office",251,3,1969,18.9,22438736.7,16.9262993402426,47.4,NA
"565","Yes","Self-Storage Facility",50880,1984,1.7,"02118","Self-Storage Facility",31.1,NA,1984,1.9,1582988.5,14.2748250741495,21.5,78.5
"566","Yes","Office",196000,1902,21.1,"02118","Office",158.4,82,1902,8.4,31048395,17.2510576741865,0.5,99.5
"567","Yes","Multifamily Housing",63968,2001,57.4,"02118","Multifamily Housing",92.9,40,2001,5.7,5943786.7,15.5978569798099,25.5,74.5
"568","Yes","Office",242240,1900,15.8,"02118","Office",82.4,65,1900,6.2,19964805.4,16.8094815513746,66.9,33.1
"569","Municipal ","Office",195000,2000,10.2,"02118","Office",41,97,2000,3.1,7990732.7,15.8937930156657,72.1,28
"570","Yes","Multifamily Housing",193816,1867,34.4,"02118","Multifamily Housing",78.9,73,1867,4.6,15293399.8,16.5429319076682,15.1,84.9
"571","Yes","Multifamily Housing",113315,1998,82.5,"02118","Multifamily Housing",107.6,24,1998,6.5,12198298.8,16.3168070573575,21.5,78.5
"572","Yes","Pre-school/Daycare",70002,1930,37.7,"02118","Pre-school/Daycare",40.8,NA,1930,2.5,2855035.1,14.8645946952173,28.8,71.2
"573","Municipal ","Office",44719,2000,19.3,"02118","Office",9.9,100,2000,0.8,442195.2,12.9995066925297,100,NA
"574","Municipal ","Fire Station",62432,2000,7.9,"02118","Fire Station",194.6,NA,2000,11.8,12148634,16.3127272934468,23.9,76.1
"575","Yes","Other",36446,1985,3.1,"02118","Other",58.5,NA,1985,3.6,2133590.8,14.5733169398796,25.9,74.1
"576","Yes","Multifamily Housing",96000,1944,34.6,"02118","Multifamily Housing",68.8,51,1944,4.8,6607014.4,15.7036424305162,51.4,48.6
"577","Yes","Manufacturing/Industrial Plant",60990,1926,8.6,"02118","Manufacturing/Industrial Plant",13,NA,1926,0.8,793599,13.5843335748714,32.2,67.8
"578","Yes","Manufacturing/Industrial Plant",160000,1952,15,"02118","Manufacturing/Industrial Plant, Parking",127.3,NA,1952,9.3,20369670.6,16.8295576172328,61.9,38.1
"579","Yes","Multifamily Housing",287000,1900,28.5,"02118","Multifamily Housing",50.5,67,1900,3.6,14494338.4,16.4892686759709,53.4,46.6
"580","Yes","Worship Facility",80974,1875,0.5,"02118","Worship Facility",78.8,35,1875,4.2,6384784.2,15.6694282489136,1.8,98.2
"581","Yes","Self-Storage Facility",83596,1920,3,"02118","Self-Storage Facility",8.9,NA,1920,0.8,747324.8,13.5242551755045,100,NA
"583","Yes","Multifamily Housing",22953,1997,73.8,"02118","Multifamily Housing",116.6,11,1997,7.3,2675487.7,14.7996422394514,29.4,70.6
"584","Yes","Multifamily Housing",63696,1900,23.3,"02118","Multifamily Housing",24.8,92,1900,2.1,1582712.7,14.2746508315515,94.2,5.8
"585","Yes","Manufacturing/Industrial Plant",52224,1960,1.6,"02118","Manufacturing/Industrial Plant",46,NA,1960,2.8,2401794.3,14.6917266409858,22.8,77.2
"586","Yes","Multifamily Housing",71955,2002,28.9,"02118","Multifamily Housing",55.4,51,2002,3.7,3989775.1,15.1992454213626,43.8,56.2
"587","Yes","Multifamily Housing",87800,1991,57.1,"02118","Multifamily Housing, Parking",53.5,100,1991,3,4697361,15.3625114196244,11.7,88.3
"588","Yes","Multifamily Housing",46457,1990,54.5,"02118","Multifamily Housing, Parking",64.6,97,1990,3.9,3002954.2,14.9151070954339,20.6,79.4
"589","Yes","Multifamily Housing",47437,1991,45.9,"02118","Multifamily Housing, Parking",74.8,72,1991,4.6,3546200.6,15.0813873348002,27.2,72.8
"590","Yes","Multifamily Housing",209882,1999,59.6,"02118","Multifamily Housing",106,7,1999,7,22245288.3,16.9176407823541,39.3,60.7
"591","Municipal ","Police Station",4200,2000,7,"02118","Police Station",50.6,NA,2000,3.5,212631.2,12.2673144885911,51.7,48.3
"592","Yes","Multifamily Housing",376000,2003,25.8,"02118","Multifamily Housing, Retail Store",53,89,2003,3.3,19923050.6,16.8073879409659,30.7,69.3
"593","Municipal ","Other - Public Services",46154,2000,25.8,"02118","Other - Public Services",31.3,NA,2000,2.6,1444369.1,14.1831831751907,88.4,11.6
"594","Yes","Multifamily Housing",74715,2009,33.9,"02118","Multifamily Housing",79.2,3,2009,5.6,5916853.8,15.5933154128864,53.9,46.1
"596","Yes","Multifamily Housing",107340,1991,44.5,"02118","Multifamily Housing, Parking",61.3,56,1991,3.9,6579132.2,15.6994134101055,31.7,68.3
"597","Yes","Non-Refrigerated Warehouse",73400,2004,0.4,"02118","Non-Refrigerated Warehouse",17.4,95,2004,1.2,1276198.8,14.0593965301245,46.3,53.7
"598","Yes","Mixed Use Property",60460,1964,2.6,"02118","Other, Parking",15,NA,1964,1.1,905773.3,13.7165443329641,60,40
"599","Yes","Other - Lodging/Residential",52503,2007,3.6,"02118","Other - Lodging/Residential",9.8,NA,2007,0.7,515233.1,13.1523746986029,61.1,38.9
"600","Yes","Multifamily Housing",393839,2015,32,"02118","Bank Branch, Food Sales, Multifamily Housing, Parking, Retail Store",78.9,18,2015,5.6,31090554.5,17.2524146171927,57.1,42.9
"601","Yes","Mixed Use Property",73504,2015,7,"02118","Other",36.2,NA,2015,2.4,2658268.4,14.7931854913365,41.1,NA
"602","Yes","Other",53312,1988,0.7,"02118","Other",22.1,NA,1988,1.4,1175667.4,13.9773465443095,38.7,61.3
"603","Yes","Other - Lodging/Residential",134880,2005,30,"02118","Other - Lodging/Residential",24,NA,2005,1.3,3243124.4,14.9920477440974,2.5,97.5
"605","Yes","Other - Lodging/Residential",37554,1930,57.2,"02118","Other - Lodging/Residential",141.6,NA,1930,9.2,5315910.9,15.4862149379525,49.5,50.6
"606","Municipal ","K-12 School",194260,1975,23.1,"02118","K-12 School, Swimming Pool",71.6,68,1975,4.4,13906752.5,16.4478850715094,27.3,72.7
"607","Municipal ","K-12 School",14435,1900,4.8,"02118","K-12 School",62.8,34,1900,5.4,906781.7,13.7176570165561,100,NA
"608","Municipal ","Repair Services (Vehicle, Shoe, Locksmith, etc.)",422000,2000,50.3,"02118","Other",69.8,NA,2000,4.4,29457382.3,17.1984551089748,31.1,68.9
"609","Yes","Office",38000,1900,3.9,"02118","Fast Food Restaurant, Office, Restaurant",32.9,96,1900,2.6,1248807.4,14.0376995738545,79.1,20.9
"610","Yes","Office",80000,1897,24.2,"02118","Office",45,94,1897,3.3,3600042.3,15.0964561533573,65.6,34.4
"611","Yes","Office",77000,1887,16.5,"02118","Office",58.4,82,1887,4.5,4495340.7,15.3185520183437,73.1,26.9
"612","Yes","Multifamily Housing",135817,2006,36.6,"02118","Multifamily Housing",98.5,1,2006,7.5,13379732,16.4092515825684,72.4,27.6
"613","Yes","Office",88000,1893,10.9,"02118","Office",37.2,98,1893,2.7,3274722.1,15.0017435684893,61.9,38.1
"614","Yes","Multifamily Housing",150000,1985,18.2,"02118","Multifamily Housing",29.9,60,1985,2.3,4485402,15.3163386815653,76.1,23.9
"616","Yes","Mixed Use Property",65121,2003,3.4,"02118","Other",4.5,NA,2003,0.3,295612,12.5968030626314,NA,41.1
"617","Yes","Mixed Use Property",57072,1900,5.9,"02118","Other",47.8,NA,1900,2.8,2727615,14.8189381589536,14.4,85.6
"618","Yes","Refrigerated Warehouse",73000,1981,12.6,"02118","Non-Refrigerated Warehouse",68.9,NA,1981,4.4,5028579.1,15.43064801708,31.8,68.2
"619","Yes","Multifamily Housing",43425,1980,33.1,"02118","Multifamily Housing",50.6,97,1980,3.3,2198860,14.6034496022078,37.2,62.8
"620","Yes","Laboratory",105462,1895,3.1,"02118","Distribution Center, Laboratory, Office, Parking, Refrigerated Warehouse",194.3,NA,1895,13.9,20486731.3,16.835287980891,57.3,42.7
"621","Yes","Multifamily Housing",361800,2015,21.7,"02118","Food Service, Multifamily Housing, Parking, Restaurant, Swimming Pool",49.2,83,2015,3.4,17811001.1,16.6953268636805,51.5,48.5
"622","Yes","Multifamily Housing",109642,1971,6,"02118","Multifamily Housing",90.8,62,1971,5.9,9955923.9,16.1136782988084,35.2,64.8
"623","Yes","Multifamily Housing",35545,1930,24.1,"02118","Multifamily Housing",107.5,23,1930,6.3,3819562.3,15.155646392866,17.7,82.3
"626","Yes","Laboratory",195000,2008,34.8,"02118","Laboratory",266.4,NA,2008,20,51942510.3,17.7656480937972,44.9,NA
"627","Yes","Multifamily Housing",74156,1930,51.8,"02118","Multifamily Housing",87.6,21,1930,5.1,6492622.3,15.6861770594614,16.7,83.3
"628","Yes","Multifamily Housing",35355,1971,204.4,"02118","Multifamily Housing",187.5,3,1971,10.4,6628196,15.7068432286061,7.1,92.9
"629","Yes","Laboratory",196458,1999,63.6,"02118","Laboratory",286.6,NA,1999,21.6,56308224.8,17.8463511712499,46.9,0
"630","Yes","Multifamily Housing",181399,1990,65,"02118","Multifamily Housing",38.7,99,1990,2.3,7018499.9,15.7640600637085,26.8,73.2
"631","Municipal ","Police Station",27224,2000,39.1,"02118","Police Station",289.8,NA,2000,18.1,7888676.8,15.8809389728009,28.6,71.4
"633","Municipal ","Library",11342,2000,19.9,"02118","Library",58.3,NA,2000,4.4,661090.1,13.4016454181679,67,33
"634","Municipal ","K-12 School",42043,1961,0.3,"02118","K-12 School",68.2,90,1961,4,2868252,14.8692133429504,15,85
"636","Yes","Other - Lodging/Residential",173387,2007,66.9,"02118","Other - Lodging/Residential",23.5,NA,2007,1.4,4079339,15.2214455234514,25.9,74.1
"637","Municipal ","Fire Station",10500,2000,33.9,"02118","Fire Station",63.3,NA,2000,4.3,664338.2,13.4065466361397,45.8,54.2
"639","Yes","Multifamily Housing",75000,1976,39.1,"02118","Multifamily Housing",91.9,46,1976,5.5,6891938.1,15.7458628951619,21.7,78.3
"640","Yes","Laboratory",215224,1968,10.2,"02118","Laboratory",133,NA,1968,9.5,28625152.1,17.1697963333617,27.8,NA
"641","Yes","Multifamily Housing",80000,1976,60.2,"02118","Multifamily Housing",102.5,38,1976,6.1,8203763.4,15.9201035581681,21.2,78.8
"642","Yes","Laboratory",180366,1972,54.6,"02118","Laboratory",199.5,NA,1972,15.4,35989877.1,17.3987482652119,56.9,NA
"645","Yes","Multifamily Housing",89177,1992,26.5,"02118","Multifamily Housing",91.5,1,1992,7.2,8163936.9,15.9152370738276,78.1,21.9
"646","Yes","Laboratory",120633,1959,46.3,"02118","Laboratory",174.2,NA,1959,14.9,21016910.4,16.860837928785,100,NA
"647","Yes","Laboratory",77861,1904,43,"02118","Laboratory",268.5,NA,1904,19.6,20904934.5,16.8554957895462,35.2,NA
"648","Yes","Multifamily Housing",177600,1972,33.9,"02118","Multifamily Housing",83.6,37,1972,5.1,14843554.2,16.5130762683753,23.2,76.8
"649","Yes","Office",145000,1889,9.2,"02118","Office",11.6,100,1889,0.6,1685762.5,14.3377285416665,NA,98.7
"650","Yes","Office",206851,2007,17,"02118","Office",116.4,52,2007,8.7,24078432.3,16.9968270724649,66.6,33.4
"651","Yes","Medical Office",82153,1876,13.3,"02118","Medical Office",54.1,85,1876,4.2,4447277.3,15.3078026241937,56.4,NA
"652","Yes","Multifamily Housing",51397,1986,62.1,"02118","Multifamily Housing",100.2,53,1986,6.5,5150202.7,15.4545466310887,36,64
"654","Yes","Mixed Use Property",77000,1920,5.7,"02118","Other",42.6,NA,1920,2.9,3281979.4,15.0039572739519,47.9,52.1
"655","Yes","Self-Storage Facility",85804,2001,0.9,"02118","Self-Storage Facility",9.6,NA,2001,0.7,823382.9,13.6211766205531,57.4,42.6
"656","Yes","Manufacturing/Industrial Plant",58850,1950,74,"02118","Manufacturing/Industrial Plant",272.2,NA,1950,15.6,16018538.7,16.5892572782155,12.9,87.1
"657","Municipal ","Hospital (General Medical & Surgical)",2185271,1986,58.3,"02118","Hospital (General Medical & Surgical), Parking",255.1,6,1986,19.3,557487764.7,20.1389511143313,48.6,1.5
"658","Yes","Retail Store",87000,1986,6.3,"02119","Parking, Retail Store",46.4,76,1986,3.6,4036873.5,15.2109810641943,100,NA
