parcel,zip,floor_area_SF,property_type_self_reported,energy_star_score_2017,site_eui_KBTUSF_2017,source_eui_KBTUSF_2017,percent_better_nat_med_site_eui_2017,percent_better_nat_med_source_eui_2017,total_ghg_emissions_MTCO2e_2017,total_ghg_intensity_kgCO2eSF_2017,weather_norm_site_eui_KBTUSF_2017,weather_norm_source_eui_KBTUSF_2017,total_site_energy_KBTU,log_total_site_energy_KBTU,Neighborhood.Code,Neighborhood.Code.Definition,Volume.Number,Property.Class.Code,Year.Property.Built,Number.of.Bathrooms,Number.of.Bedrooms,Number.of.Rooms,Number.of.Stories,Number.of.Units,Zoning.Code,Construction.Type,Lot.Depth,Lot.Frontage,Property.Area.in.Square.Feet,Basement.Area,Lot.Area,Lot.Code,Tax.Rate.Area.Code,Percent.of.Ownership,Closed.Roll.Misc.Exemption.Value,Closed.Roll.Homeowner.Exemption.Value,Current.Sales.Date,Closed.Roll.Assessed.Fixtures.Value,Closed.Roll.Assessed.Improvement.Value,Closed.Roll.Assessed.Land.Value,Closed.Roll.Assessed.Personal.Prop.Value,Supervisor.District,Neighborhoods...Analysis.Boundaries
2423/021,94116,16570,Worship Facility,95,15.2,33.9,-55.7,-55.7,16.6,1,15.5,34.2,251864,12.43664454,02D,Parkside,18,W,1988,0,0,13,3,0,NC1,D,20,0,16570,0,7200,R,1000,1,2670143,0,,0,2155445,514698,0,4,Sunset/Parkside
0690/001,94109,11760,Office,7,207.5,334.1,125.7,125.7,144.5,12.3,211.8,338.6,2440200,14.70759056,08F,Van Ness/ Civic Center,5,C,1913,0,0,28,2,8,RC4,C,9.75,0,13954,0,6585,R,1007,1,0,0,,0,1541773,861986,0,2,Western Addition
0714/017,94109,64570,Office,45,103.8,206.9,4.5,4.5,266.2,6.6,105.1,207.1,6702366,15.71797116,08F,Van Ness/ Civic Center,5,O,1973,0,0,0,4,0,NC3,A,0,0,40470,0,18000,O,1007,1,0,0,,0,5705090,661865,0,5,Western Addition
0257/012,94108,423706,Hotel,1,103,153.9,199.8,199.8,2624.8,6.2,104.2,155.4,43641718,17.59152409,08B,Financial District North,3,H1,1908,0,0,3606,9,360,C3G,A,0,0,420654,0,79348,O,1000,1,0,0,12/4/98,1941045,148500446,51155234,2942351,3,Financial District/South Beach
3728/048,94103,34149,Office,100,11.4,32.7,-79.2,-79.2,28.4,0.8,11.4,32.7,389298.6,12.87210194,09B,,25,O,1917,0,NA,24,4,2,C3O,C,37.16,0,26476,0,9199,R,1000,1,0,0,,0,1271349,2410228,0,6,Financial District/South Beach
0174/004,94111,49446,Office,38,84.6,190.3,12.9,12.9,276.8,5.6,84.6,190.3,4183131.6,15.24657071,08B,Financial District North,2,O,1907,0,0,46,6,7,C2,B,68.75,0,56718,0,9453.13,R,1000,1,0,0,,0,3080266,420093,0,3,Chinatown
5596/013,94110,11730,Fitness Center/Health Club/Gym,100,8.2,20,-79.3,-79.3,6.6,0.6,9.4,21.4,96186,11.4740391,10A,Bayview,33,I,1937,0,0,11,2,0,M1,C,0,0,11730,0,10735,O,1018,1,0,0,,0,362719,1368906,0,9,Bernal Heights
0696/002,94109,26000,Worship Facility,93,20.7,39.5,-52.5,-52.5,33.6,1.3,22.2,41.1,538200,13.19598552,08F,Van Ness/ Civic Center,6,W,1918,0,NA,12,6,0,RC4,D,0,0,0,0,5293.75,,1000,1,908409,0,,0,390767,1205111,0,6,Nob Hill
0350/004,94102,48811,Worship Facility,83,17.2,49.8,-29.5,-29.5,61.4,1.3,17.6,50.2,839549.2,13.64062036,08F,Van Ness/ Civic Center,3,C,1911,0,0,0,3,4,C3G,A,0,0,26880,0,11316,,1000,0.65,3229557,0,9/25/20,0,2664253,2179840,0,6,Tenderloin
0312/004,94108,42890,Office,86,56.4,136.6,-39.4,-39.4,164.6,3.8,57.7,137.9,2418996,14.69886314,08I,,3,O,1990,0,0,0,10,0,C3R,A,0,0,55584,0,5898,O,1000,1,0,0,8/5/88,0,15143546,1040301,0,3,Financial District/South Beach
