parcel,zip,floor_area_SF,property_type_self_reported,energy_star_score_2017,site_eui_KBTUSF_2017,source_eui_KBTUSF_2017,percent_better_nat_med_site_eui_2017,percent_better_nat_med_source_eui_2017,total_ghg_emissions_MTCO2e_2017,total_ghg_intensity_kgCO2eSF_2017,weather_norm_site_eui_KBTUSF_2017,weather_norm_source_eui_KBTUSF_2017,total_site_energy_KBTU,log_total_site_energy_KBTU,Neighborhood.Code,Neighborhood.Code.Definition,Volume.Number,Property.Class.Code,Year.Property.Built,Number.of.Bathrooms,Number.of.Bedrooms,Number.of.Rooms,Number.of.Stories,Number.of.Units,Zoning.Code,Construction.Type,Lot.Depth,Lot.Frontage,Property.Area.in.Square.Feet,Basement.Area,Lot.Area,Lot.Code,Tax.Rate.Area.Code,Percent.of.Ownership,Closed.Roll.Misc.Exemption.Value,Closed.Roll.Homeowner.Exemption.Value,Current.Sales.Date,Closed.Roll.Assessed.Fixtures.Value,Closed.Roll.Assessed.Improvement.Value,Closed.Roll.Assessed.Land.Value,Closed.Roll.Assessed.Personal.Prop.Value,Supervisor.District,Neighborhoods...Analysis.Boundaries
0111/003,94111,35649,Office,89,53.6,106.2,-43.4,-43.4,120.9,3.4,55.1,107.2,1910786.4,14.46302544,08H,North Waterfront,1,O,1907,0,0,9,3,1,C2,C,20,0,29304,0,9000,R,1000,1,0,0,,0,3873766,1566841,0,3,Financial District/South Beach
0307/008,94102,68132,Mixed Use Property,80,40.4,80.3,-34.8,-34.8,186.7,2.7,41.1,81,2752532.8,14.82803206,08I,,3,U,1911,0,0,51,8,2,C3G,B,0,0,57825,0,9452,,1000,1,0,0,,63506,515652,1134421,7806,3,Tenderloin
0134/001,94133,85476,Office,97,38.4,83.1,-58.1,-58.1,200.8,2.5,42.5,87.4,3282278.4,15.00404837,08G,Telegraph Hill,2,C,1926,0,0,46,3,1,C2,B,75,0,89010,0,37840,R,1000,1,0,0,,602692,569932,1270123,12487,3,North Beach
3754/049,94103,19384,Other - Services,93,15.7,49.3,-50.8,-50.8,20.2,1.2,15.7,49.3,304328.8,12.62586397,09F,South of Market,25,C,1910,0,0,0,1,0,SLR,,0,0,10966,0,10136,,1008,1,0,0,8/9/20,0,236292,2008525,0,6,South of Market
3937/001,94103,47500,Fitness Center/Health Club/Gym,58,28,87.8,-9.3,-9.3,100.7,2.1,28,87.8,1330000,14.1006895,09D,Mission Bay,26,O,1952,0,0,27,2,0,M2,C,0,0,41200,0,39996,,1000,1,0,0,7/26/50,0,3082409,5724478,0,10,Mission Bay
0508/028,94123,24840,Hotel,70,58.3,118.4,-17.9,-17.9,92.4,3.7,59,120.6,1448172,14.18581263,07D,Cow Hollow,4,M,1984,0,0,69,3,70,NC3,C,88.75,0,31541,0,9762.5,R,1000,1,0,0,,25093,3288184,1846828,496769,2,Marina
0257/001,94108,24166,Office,86,51.2,141.5,-39.3,-39.3,88.8,3.7,53.4,142.7,1237299.2,14.0284415,08B,Financial District North,3,O,1908,0,0,39,4,20,CCB,C,0,0,23440,0,6875,R,1000,0.06,0,0,,0,4179327,2946426,0,3,Financial District/South Beach
3768/015,94105,49917,Office,91,30.7,96.4,-47.7,-47.7,116.2,2.3,30.7,96.4,1532451.9,14.24237956,08I,,3,O,1930,0,NA,0,3,1,C3R,C,40.93,0,28535,0,7200,R,1000,1,0,0,,14997055,1566649,1278874,296036,3,Financial District/South Beach
0277/025,94109,446031,Hospital (General Medical & Surgical),70,175.3,350.6,-10.9,-10.9,4960.1,11.1,177.4,351,78189234.3,18.17464253,08A,Dowtown,3,N1,6889,0,0,672,12,0,RC4,A,0,0,400598,0,69090,,1000,1,115218820,0,,43477834,45622081,5078715,21040190,3,Nob Hill
1542/042,94118,21500,Retail Store,100,20.7,39.7,-77.8,-77.8,27.8,1.3,22.7,41.8,445050,13.00594191,01B,Inner Richmond,11,C,1917,0,0,4,2,0,NC3,C,0,0,21500,0,10746,,1000,1,0,0,11/24/10,0,1881222,1123507,0,1,Inner Richmond
3787/008,94107,108000,Office,99,24.7,75.4,-66,-66,199.6,1.8,24.9,75.7,2667600,14.79668975,08I,,3,O,1908,0,NA,163,7,2,C3O,C,0,0,0,0,19549,O,1000,1,0,0,,946323,280620,1666522,197293,3,Financial District/South Beach
3905/003,94103,35124,Distribution Center,94,7.8,18.3,-64.9,-64.9,18.3,0.5,8,18.5,273967.2,12.52076367,09C,Inner ission,26,IW,2009,0,0,0,2,0,M1,,0,0,35134,0,16095,,1000,1,0,0,,0,3711825,2675507,0,10,Mission
0314/001,94102,912400,Retail Store,71,62.8,168.2,-25.3,-25.3,4059,4.4,63.1,168.4,57298720,17.86378884,08F,Van Ness/ Civic Center,6,G,1924,0,0,12,1,0,RC4,C,0,0,0,0,3598,,1000,1,0,0,,0,993498,1052991,0,6,Tenderloin
0288/031,94104,332000,Office,90,61.1,144.5,-45.3,-45.3,1305.8,4.1,62.6,146,20285200,16.82540211,08B,Financial District North,3,O,1984,0,0,0,28,0,C3O,A,60,0,277895,0,10356,,1000,1,0,0,,0,86781535,3552993,13387,3,Financial District/South Beach
0259/029,94104,246955,Office,88,40.7,97.8,-41.8,-41.8,725.4,2.9,41.6,98.9,10051068.5,16.12318951,08B,Financial District North,3,O,1921,0,0,0,16,0,C3O,A,35,0,270497,0,18697.5,R,1000,1,0,0,3/6/60,0,21858751,43717505,477536,3,Financial District/South Beach
3775/016,94107,17195,Office,95,32.8,72.9,-53.7,-53.7,37.1,2.2,36.4,78.8,563996,13.24280244,09B,,25,I,1929,0,0,5,3,0,SLI,C,0,0,0,0,5797,,1000,1,0,0,,0,194864,90822,0,6,Financial District/South Beach
0310/018,94108,28722,Office,98,24.8,51.5,-66.8,-66.8,45.7,1.6,24.5,50.7,712305.6,13.47626231,08I,,3,OC,1907,0,0,30,6,2,C3R,B,60,0,28600,0,3600,R,1000,1,0,0,7/11/50,0,18582804,3567345,0,3,Financial District/South Beach
3762/003,94107,10800,Other - Services,91,25.4,56,-44.2,-44.2,18,1.7,25.4,56,274320,12.52205059,09D,Mission Bay,25,I,1922,0,NA,9,2,0,PDR2,C,0,0,0,0,4896,,1000,0.5,0,0,8/3/12,0,1347370,497101,0,6,South of Market
3782/001,94103,84868,Other - Mall,98,34,86.1,-63.8,-63.8,199.9,2.4,34.4,86.1,2885512,14.87521291,08B,Financial District North,3,U,1925,0,NA,42,6,2,C3O,B,0,0,63608,0,40959,O,1000,1,0,0,8/10/60,0,6979785,697919,0,3,Financial District/South Beach
0763/002,94102,34572,Office,89,39.6,111.3,-44.5,-44.5,99,2.9,40.5,112.2,1369051.2,14.1296285,08F,Van Ness/ Civic Center,6,O,1910,0,0,71,3,0,NC3,C,0,0,0,0,9896,,1000,1,350596,0,,844149,2451135,432533,8623,6,Tenderloin
4851/017,94124,14968,Other,3,118.9,373.2,203.1,203.1,134.9,9,118.9,373.2,1779695.2,14.39195267,10A,Bayview,29,I,1960,0,0,5,1,0,M1,S,0,0,16613,0,74997,,1018,0.5,0,0,10/23/98,0,383650,895200,0,10,Bayview Hunters Point
3727/001,94103,93425,Hotel,63,31.7,53.9,-11.7,-11.7,178.5,1.9,32.8,55.1,2961572.5,14.90123094,09E,Potrero Hill,26,I,1952,0,NA,353,2,0,PDR2,C,0,0,0,0,63530,O,1000,1,0,0,9/25/97,0,5246098,1592700,0,10,Mission Bay
3787/024,94107,92392,Office,77,64.5,146.1,-27.4,-27.4,280.4,4.3,66.3,148,5959284,15.6004609,09D,Mission Bay,25,O,1986,0,0,0,7,0,M2,D,0,0,96445,0,30070,O,1000,1,0,0,3/24/60,0,11147962,15607149,0,6,South of Market
3716/021,94105,892240,Office,92,47.8,137.8,-45.2,-45.2,2312.2,3.5,NA,NA,42649072,17.56851607,09H,South Beach,25,OC,1925,0,0,0,5,0,C3O,,0,0,297204,0,0,,1004,1,0,0,6/12/60,0,159370869,52256170,0,6,Financial District/South Beach
0237/010,94111,33317,Office,31,119.1,224.6,21.8,21.8,267.9,7.4,123.7,229.4,3968054.7,15.19378653,08B,Financial District North,3,O,1908,0,0,20,7,2,C3O,A,0,0,39384,0,5309,,1000,1,0,0,,0,686978,1263152,0,3,Financial District/South Beach
3730/032,94103,24000,,39,24.1,74.2,16.1,16.1,43.5,1.8,24.1,74.2,578400,13.26802095,09C,Inner ission,24,C,1920,0,NA,22,2,1,NC3,A,0,0,29000,0,4996,,1000,0.06,0,0,7/11/50,0,2252095,6270740,0,9,Mission
3774/074,94107,99522,College/University,99,18.9,45.4,-82.7,-82.7,127.7,1.3,20.1,46.6,1880965.8,14.44729593,09H,South Beach,25,O,1912,0,0,0,5,0,M1,C,0,0,99580,20580,18162,O,1000,1,0,0,3/15/50,0,2217327,7959644,0,6,Financial District/South Beach
3918/009,94103,51276,Other,69,31.5,96.4,-21.7,-21.7,121.1,2.4,96.3,31.8,1615194,14.29496563,09C,Inner ission,26,I,1957,0,0,0,2,0,M1,C,0,0,56479,0,39350,O,1000,1,0,0,,131670,4707546,1592700,4915,10,Mission
0853/006,94102,11209,Office,90,44.2,111.5,-43,-43,27.9,3.1,45.3,112.7,495437.8,13.1131971,06B,Hayes Valley,6,O,1957,0,0,20,2,0,NC3,D,20,0,11209,0,6900,R,1000,1,424022,0,,0,295883,128139,0,5,Hayes Valley
0291/012,94104,760565,Office,84,74.1,160.6,-36.8,-36.8,3641,5.3,75.7,161.8,56357866.5,17.84723239,08B,Financial District North,3,O,1966,0,0,1300,43,0,C3O,A,0,0,750491,0,22372,O,1000,1,0,0,,82933,116919451,23251021,57006,3,Financial District/South Beach
3788/038,94107,46759,Office,83,54.5,142.6,-36,-36,178.8,3.8,54.5,142.6,2548365.5,14.75096273,08I,,3,X,1949,0,NA,0,3,0,C3R,A,0,0,26880,0,10672,O,1000,1,0,0,,0,12819143,7958843,0,3,Financial District/South Beach
4023/005,94110,14700,Office,86,56.8,144.4,-39.1,-39.1,57.9,3.9,59.7,147.4,834960,13.6351391,09C,Inner ission,26,I,1943,0,0,6,1,0,M1,D,0,0,0,0,9997,,1000,1,0,0,,0,85925,90069,0,10,Mission
3712/023,94105,164070,Office,80,52.9,158.3,-32.1,-32.1,644.4,3.9,54.1,159.5,8679303,15.97645178,09H,South Beach,25,O,1967,0,0,0,12,1,C3O,A,37.5,0,157841,8970,18922.75,R,1000,1,0,0,10/1/87,0,22152869,10911113,0,6,Financial District/South Beach
3729/006,94103,21114,Office,88,40.1,108,-41.9,-41.9,60.1,2.8,42.2,110.1,846671.4,13.64906794,09F,South of Market,25,I,1925,0,0,4,2,3,SLR,C,75,0,0,0,12375,R,1000,1,0,0,8/30/40,0,1364506,2146827,0,6,South of Market
0287/009,94108,138400,Office,90,27,84.9,-42.6,-42.6,283.8,2.1,27,84.9,3736800,15.13374019,08I,,3,O,1908,0,0,0,9,0,C3R,A,37.5,0,127289,0,15537.5,R,1000,1,0,0,,0,22295927,24664870,0,3,Financial District/South Beach
3733/017,94103,86623,Office,66,116.8,252.1,-15.9,-15.9,408.1,7.6,119.4,254.9,10117566.4,16.12978372,09F,South of Market,25,O,1986,0,0,0,10,0,RSD,A,60,0,53623,0,11000,R,1000,1,12560827,0,8/26/88,737729,10505620,2908633,152698,6,South of Market
3637/069,94110,90669,Office,75,60.8,144.3,-26.5,-26.5,372,4.1,62.9,146.5,5512675.2,15.52256058,09C,Inner ission,24,O,1962,0,0,88,10,0,NC3,A,0,0,90669,0,44100,O,1000,1,0,0,8/31/99,0,3291231,4388311,0,9,Mission
1-Dec,94133,40052,Retail Store,38,68.5,176.5,14.8,14.8,191.2,4.8,68.5,176.5,2743562,14.82476763,08H,North Waterfront,1,C,1953,0,0,19,2,4,C2,C,37.5,0,24627,0,18906.25,S,1000,1,0,0,1/31/92,0,5640798,11829047,0,3,North Beach
3571/015,94110,15000,Office,94,21.6,45.7,-52.4,-52.4,21,1.4,23.7,47.8,324000,12.68849879,09C,Inner ission,23,C,1955,0,0,2,1,0,CM,C,0,0,14000,0,27525,,1000,0.5,0,0,,0,498148,498148,0,9,Mission
3987/008,94107,16162,Office,84,24.9,74.5,-36.7,-36.7,29.8,1.8,25.4,75,402433.8,12.90528589,09E,Potrero Hill,26,O,1900,0,0,11,2,3,UMU,D,0,0,15770,0,8028,,1000,1,0,0,12/31/12,0,2370714,1506810,0,10,Potrero Hill
3785/023,94107,25920,College/University,100,24.5,50.9,-80.6,-80.6,40.8,1.6,26.6,53.3,635040,13.36144327,09D,Mission Bay,25,I,1915,0,0,6,2,0,SLI,C,25,0,17280,0,10500,R,1000,1,0,0,,0,1579488,2211284,0,6,Mission Bay
0238/006,94104,116050,Office,62,54,130,-12.2,-12.2,425.2,3.7,54,130,6266700,15.65076046,08B,Financial District North,3,O,1952,0,0,159,10,2,C3O,B,0,0,120787,0,11469,O,1000,1,0,0,4/29/50,0,12621722,13645104,0,3,Financial District/South Beach
0346/016,94102,10065,Office,57,87.4,178.5,-7.6,-7.6,56.2,5.6,91.8,183.1,879681,13.68731462,08A,Dowtown,3,O,1907,0,0,20,2,1,C3G,C,37.5,0,10065,0,6201.25,R,1000,1,0,0,2/21/51,0,1170533,2731248,0,6,Tenderloin
4083/001A,94110,53000,Other,99,0.6,1.9,-98.4,-98.4,2.5,NA,0.6,1.9,31800,10.36722157,09C,Inner ission,27,I,1924,0,0,15,3,0,M1,C,91.5,0,54900,0,18300,R,1000,1,0,0,2/11/50,0,1954089,3629025,0,9,Mission
4570/023,94124,45705,Non-Refrigerated Warehouse,59,20.8,54.4,-9.3,-9.3,66.6,1.5,21.7,55.4,950664,13.76491597,10J,Hunters Point,29,IW,1982,0,0,0,0,2,PDR2,C,0,0,45705,0,111099,O,1002,1,0,0,5/23/50,0,2393966,6481422,0,10,Bayview Hunters Point
0300/009,94109,32131,Mixed Use Property,99,2.7,4.4,-96.5,-96.5,4.6,0.2,2.7,4.4,86753.7,11.37082835,08A,Dowtown,3,C,1920,0,0,3,3,2,RC4,B,0,0,31968,0,10654,,1000,1,0,0,,0,379945,426127,0,3,Nob Hill
0284/001,94108,17500,Office,41,88.3,152.4,2.9,2.9,93.4,5.3,95.8,161.4,1545250,14.25069627,08I,,3,U,1909,0,0,15,3,1,RC4,C,0,0,12092,0,5902,,1000,1,0,0,,0,327359,472680,0,3,Nob Hill
3726/117,94103,124147,Hotel,89,65.1,109,-36.1,-36.1,416.2,3.9,65.1,109,8081969.7,15.90514618,08I,,3,U,1965,0,NA,0,10,108,C3R,A,0,0,0,0,8180,,1000,1,0,0,4/19/70,21814,3070125,2946644,0,3,Financial District/South Beach
0306/007,94102,56064,Hotel,37,64.1,142.2,12,12,236.5,4.2,64.9,144.2,3593702.4,15.09469354,09D,Mission Bay,3,H1,1920,0,NA,143,2,72,,B,0,0,0,0,20000,,1000,1,0,0,,76705,3073046,6011156,313347,3,Tenderloin
1068/002,94118,10633,Retail Store,81,35.2,74.1,-35.3,-35.3,24.2,2.3,37.4,76.3,374281.6,12.83276373,01C,Jordan Park/Laurel Heights,8,C,1946,0,0,1,1,1,NC3,B,0,0,10633,0,11691,,1000,0.3,0,0,,0,333979,399768,0,2,Presidio Heights
0164/010,94133,26476,Office,63,58.2,124.4,-14,-14,100.1,3.8,59.3,124.7,1540903.2,14.2478793,08B,Financial District North,2,O,1906,0,0,7,4,1,C2,C,52,0,26476,0,7150,R,1000,1,0,0,6/27/70,0,4371749,4189228,0,3,North Beach
1-Oct,94109,133675,Office,76,66.6,148.4,-27.8,-27.8,586.8,4.4,68.1,150.1,8902755,16.00187134,08H,North Waterfront,1,C1,1907,0,0,0,3,0,C2,C,0,0,133675,0,66124,,1000,1,0,0,5/23/11,0,8603455,12905183,0,2,Russian Hill
0297/014,94102,26322,College/University,99,46.3,85.7,-67.3,-67.3,84.3,3.2,46.3,85.7,1218708.6,14.01330233,08I,,3,C,1921,0,0,28,4,3,C3G,C,0,0,26322,0,6660,,1000,1,0,0,,0,401625,399547,0,3,Nob Hill
7255/002,94132,49500,Supermarket/Grocery Store,62,158.2,496.9,-8.2,-8.2,594,12,158.2,496.9,7830900,15.873588,04E,Stonestown,44,O,1982,0,NA,0,2,2,RH1D,C,0,0,24627,0,1799,,1000,1,0,0,6/1/88,0,0,2783594,0,8,Lakeshore
0050/021,94133,16200,Hotel,22,96,190.7,29.3,29.3,98.5,6.1,96.7,192.8,1555200,14.25711471,08E,Russian Hill,1,M,1976,0,0,55,3,46,NBEACH,D,0,0,23354,0,7143,,1000,1,0,0,,0,1377746,248014,139588,3,Russian Hill
3966/001,94110,147250,Mixed Use Property,99,18.4,48.8,-67.1,-67.1,191,1.3,18.6,49,2709400,14.81223777,09B,,23,O,1989,0,NA,0,6,0,SSO,C,15,0,142968,0,37396,R,1000,1,0,0,,0,86781535,40701735,0,6,Financial District/South Beach
3788/002,94107,24096,Office,94,39.1,88.2,-53.3,-53.3,62.4,2.6,42.4,91.7,942153.6,13.7559236,09H,South Beach,25,O,1925,0,0,0,3,0,SSO,B,0,0,23961,0,8790,,1000,1,0,0,2/17/91,0,4106673,2105985,0,6,Financial District/South Beach
3708/023,94105,40424,Office,100,10.2,30.1,-85,-85,30.5,0.8,10.2,30.1,412324.8,12.92956667,09B,,25,I,1913,0,0,4,3,0,C3O,B,15,0,21390,0,7130,R,1000,1,1808494,0,,0,847964,960530,0,6,Financial District/South Beach
3708/043,94105,487959,Office,90,58,150.9,-42.9,-42.9,2070.7,4.2,58.9,152,28301622,17.15842968,09B,,25,O,1978,0,0,0,31,0,C3O,D,0,0,476189,0,6198,O,1000,1,0,0,,0,25820696,17213797,0,6,Financial District/South Beach
3749/001,94105,30750,Office,89,33.6,95.2,-44.3,-44.3,74.9,2.4,34.3,96,1033200,13.84817134,09B,,25,I,1916,0,0,12,5,0,M1,C,0,0,0,0,8999,,1000,1,0,0,,429611,258487,238280,0,6,Financial District/South Beach
3763/006,94107,24682,Office,100,18.9,55.9,-73.3,-73.3,34.4,1.4,19.1,55.5,466489.8,13.05299143,09C,Inner ission,37,O,1984,0,NA,0,3,0,NC3,,0,0,26501,0,14671,,1000,1,0,0,,0,1347370,2786988,0,9,Mission
3735/062,94105,405558,Office,98,36.2,95,-62.9,-62.9,900.7,2.5,36.2,95,14681199.6,16.50207829,09B,,25,O,1987,0,0,0,20,0,C3S,A,0,0,360000,0,34957,O,1005,1,0,0,2/21/71,0,59747259,89620888,0,6,Financial District/South Beach
3706/064,94103,81406,Office,92,47.2,120.3,-48.7,-48.7,266.6,3.3,47.2,120.3,3842363.2,15.16159815,09C,Inner ission,23,O,1900,0,NA,99,7,10,M1,D,0,0,57825,0,27385,,1000,1,0,0,,0,5546195,4159645,0,9,Mission
0694/011,94109,50540,Fitness Center/Health Club/Gym,7,113.2,179.6,85.5,85.5,337.2,6.7,113.2,179.6,5721128,15.55967655,08F,Van Ness/ Civic Center,5,U,1909,0,0,36,4,0,RC4,C,9,0,0,0,13080,R,1000,1,0,0,,364158,440071,355069,142997,3,Tenderloin
5314/001,94124,39996,Non-Refrigerated Warehouse,85,8.3,22,-43.7,-43.7,20,0.6,8.6,22.4,331966.8,12.71279024,10A,Bayview,31,I,1962,0,0,10,2,0,M1,C,0,0,34165,0,39996,,1018,1,0,0,1/17/91,0,1441978,1441978,0,10,Bayview Hunters Point
3721/001,94105,506544,Office,92,39.9,122.7,-48.5,-48.5,1519.6,3,39.9,122.7,20211105.6,16.82174279,09B,,25,O,1985,0,NA,0,5,0,C3OSD,A,0,0,400598,0,4657.5,O,1016,1,350596,0,12/14/11,112804,27229771,9836436,0,6,Mission Bay
0262/013,94111,201531,Office,92,54,136.7,-47.3,-47.3,742.7,3.9,54.9,136.7,10882674,16.20268254,08B,Financial District North,3,O,1958,0,0,0,14,0,C3O,A,0,0,165133,0,21331,O,1000,1,0,0,7/30/10,54364,15676851,28479613,78949,3,Financial District/South Beach
3636/011,94110,22964,Retail Store,79,62.5,187.6,-35,-35,106.7,4.6,63.4,188.8,1435250,14.17684961,09C,Inner ission,24,C,1953,0,0,15,2,0,NC3,C,25,0,22962,0,11500,R,1000,1,0,0,3/11/97,0,2125798,930033,0,9,Mission
0313/007,94108,27620,"Personal Services (Health/Beauty, Dry Cleaning, etc.)",58,39.3,89.6,-10.8,-10.8,72.2,2.6,43,93.4,1085466,13.89751995,08I,,3,C,1909,0,0,18,6,1,C3R,B,91,0,22140,0,3640,R,1000,1,0,0,,0,364843,696479,0,3,Financial District/South Beach
0653/022,94115,12000,,55,60.7,157.1,-5.7,-5.7,50.9,4.2,61.3,157.7,728400,13.49860563,06C,Lower Pacific Heights,5,F,1900,0,0,13,2,3,FILLMR,D,0,0,0,0,5000,R,1000,1,0,0,,0,190363,134930,0,2,Pacific Heights
3744/002,94105,578104,Office,79,65.2,183.1,-30,-30,1972.3,4.7,62.7,178.6,37692380.8,17.44496853,09H,South Beach,25,O,1990,0,0,0,7,0,M1,A,0,0,426760,0,89231,O,1000,1,0,0,8/12/40,0,120121357,25976130,40602,6,Financial District/South Beach
0287/026,94108,47054,Office,86,57.3,127,-40.1,-40.1,192.2,4.1,62,132.7,2696194.2,14.80735178,08I,,3,OZ,1905,0,0,0,1,0,C3R,,0,0,3930,0,0,,1000,0.2266,0,0,2/19/21,0,630756,864048,0,3,Financial District/South Beach
3702/044,94103,159330,Office,87,54.6,130.7,-41,-41,628,3.9,54.6,130.7,8699418,15.97876668,09F,South of Market,25,O,1990,0,0,0,13,0,C3G,A,0,0,161810,0,7257,,1000,1,0,0,,0,14402723,352428,0,6,South of Market
0685/043,94115,19500,Restaurant,92,86.6,207.2,-52,-52,114.3,5.9,86.3,206.5,1688700,14.33946956,06C,Lower Pacific Heights,5,C,1971,0,0,10,2,1,NC2,C,0,0,19500,0,0,,1007,1,0,0,12/5/20,0,3976883,3253814,0,5,Japantown
0294/009,94108,38475,,16,119.1,373.9,57.4,57.4,347.5,9,118,370.3,4582372.5,15.33772744,08I,,3,C,1908,0,0,0,3,1,C3R,C,0,0,38475,0,11473,,1000,0.04398,0,0,,0,8709165,9431512,0,3,Financial District/South Beach
8721/032,94158,219588,Laboratory,3,224,473.4,284.5,284.5,3181.4,14.5,226.7,474.3,49187712,17.71115439,10E,Visitacion Valley,37,VR,1988,0,0,0,0,0,RH1,,0,0,0,0,1799,,1000,1,0,0,,0,0,0,0,10,Visitacion Valley
0262/008,94111,33863,Office,44,83.2,185.3,6.3,6.3,185.7,5.5,83.2,185.3,2817401.6,14.8513256,08B,Financial District North,3,O,1986,0,0,0,5,0,C3O,A,37.5,0,29843,0,6301.63,R,1000,1,0,0,,0,9097555,3239888,0,3,Financial District/South Beach
3987/007,94107,28500,Office,77,71.1,187.1,-28.5,-28.5,142.5,5,71.1,187.1,2026350,14.5217467,09E,Potrero Hill,26,PL,1977,0,0,0,0,0,M2,,0,0,0,0,11603,O,1000,1,0,0,4/30/20,0,0,1205111,0,10,Potrero Hill
3554/056,94103,12000,Bank Branch,91,32.9,103.4,-47.4,-47.4,30,2.5,32.7,102.6,394800,12.88613459,08I,,3,MIX,1981,0,NA,0,2,3,C3R,,0,14,13400,0,11904,O,1000,1,0,0,1/21/11,0,10137232,1725961,0,3,Financial District/South Beach
0344/005,94102,54702,Office,99,5.5,16.3,-89,-89,14.4,0.4,5.6,16.4,300861,12.61440364,08A,Dowtown,3,C,1908,0,0,40,2,8,RC4,S,0,0,57171,0,18926,,1000,1,0,0,,0,530344,707129,0,6,Tenderloin
3756/032,94103,16875,Office,98,18.3,52.5,-63.4,-63.4,22.5,1.3,18.7,52.4,308812.5,12.64048958,09C,Inner ission,23,C,1926,0,NA,7,1,1,M1,C,0,0,17000,0,10587.5,,1000,0.5,0,0,,0,413909,1454841,0,9,Mission
0269/001,94104,642879,Office,99,37.4,95.7,-65.6,-65.6,1545.9,2.7,38.8,97.5,24043674.6,16.99538251,08B,Financial District North,3,O,1927,0,0,292,31,10,C3O,A,0,0,653245,0,40959,,1000,1,0,0,,0,23712358,12290041,70214,3,Financial District/South Beach
3708/056,94105,1205847,Office,97,37.8,99.7,-58.2,-58.2,3150.9,2.7,38.5,100.4,45581016.6,17.63500189,09B,,25,O,1973,0,0,0,38,0,C3O,A,55.2,0,1086700,0,44266.56,R,1000,1,0,0,,2334216,200597104,53275458,80393,6,Financial District/South Beach
3751/105,94107,239133,Office,94,52.3,133.9,-51.6,-51.6,743.5,3.6,52.3,133.9,12506655.9,16.34177153,08B,Financial District North,3,I,1910,0,NA,0,0,0,RC4,,0,0,0,0,58000,,1000,1,0,0,,0,1241342,1112843,0,3,Nob Hill
0763/005,94102,16920,Office,52,46,89.4,-2.2,-2.2,48.9,2.9,46,89.4,778320,13.56489303,08F,Van Ness/ Civic Center,6,C,1911,0,0,16,1,1,NC3,C,20,0,16920,0,7200,R,1000,1,0,0,1/22/88,0,1561471,1171096,0,6,Tenderloin
3707/014,94105,147509,College/University,98,38.3,93.3,-64.5,-64.5,384.9,2.6,38.3,93.3,5649594.7,15.54709437,09B,,25,E,1907,0,0,126,6,2,C3O,B,40.93,0,124526,0,22562.89,R,1000,0.75,0,0,1/25/91,0,5190357,6673318,0,6,Financial District/South Beach
3717/012,94105,292653,Office,94,39.4,97.7,-52,-52,771.7,2.7,41.1,99.5,11530528.2,16.2605087,09H,South Beach,25,O,1991,0,0,0,23,0,C3O,A,37.5,0,0,0,6301.63,R,1000,1,0,0,3/23/92,0,27366358,4242836,0,6,Financial District/South Beach
0018/001,94133,97614,Office,90,53.3,121.5,-45.7,-45.7,346,3.5,55.4,122.7,5202826.2,15.46471254,08H,North Waterfront,1,O,1971,0,0,104,3,1,C2,B,75,0,104424,0,37812.5,R,1000,1,19821482,0,1/25/12,463287,14959609,22439414,6801,3,North Beach
0112/001,94111,205964,Office,92,49.8,115,-49.4,-49.4,685,3.3,49.3,113.6,10257007.2,16.14347166,09C,Inner ission,32,O,1915,0,NA,2,6,2,M2,C,0,0,167053,0,61175,R,1000,1,0,0,12/19/94,0,65897712,50227000,0,10,Mission
3915/001,94103,294475,Enclosed Mall,99,22.3,61.2,-74,-74,469.4,1.6,22.7,61.6,6566792.5,15.69753607,09D,Mission Bay,26,C,1975,0,0,1,4,1,M2,S,0,0,0,0,20000,R,1000,1,0,0,2/16/60,0,10137232,6688775,0,10,Mission Bay
0309/001,94108,96776,Office,100,17.8,42.3,-80.9,-80.9,116.3,1.2,19.2,43.8,1722612.8,14.35935277,08I,,3,C,1909,0,0,260,12,0,C3R,A,0,0,99223,0,7779,,1000,1,0,0,10/29/99,0,26194292,25076092,0,3,Financial District/South Beach
0278/019,94109,81587,Senior Care Community,62,142.5,236.5,-8.3,-8.3,439.1,8.5,142.5,236.5,11626147.5,16.26876721,08A,Dowtown,3,N2,1969,0,0,99,6,172,RC4,C,37.5,0,51587,0,12375,R,1000,1,0,0,9/3/93,0,5546195,7630541,0,3,Nob Hill
3755/097,94103,12400,Hotel,100,9.4,24.8,-72.3,-72.3,8.2,0.7,9.4,24.8,116560,11.66616144,09F,South of Market,25,H2,1984,25,25,28,4,25,SLR,D,75,0,12400,0,3750,R,1000,1,0,0,6/1/88,0,1116445,351319,0,6,South of Market
0261/017,94104,814226,Office,97,38.1,98.1,-60.2,-60.2,2205.7,2.8,38.8,99,31022010.6,17.25020753,08B,Financial District North,3,O,1986,0,0,0,48,0,C3O,A,0,0,0,0,0,,1000,1,0,0,4/29/99,0,21101528,12149362,0,3,Financial District/South Beach
0014/001,94133,220932,Hotel,43,51.5,104.1,5.6,5.6,724.2,3.3,51.5,104.1,11377998,16.24719205,08F,Van Ness/ Civic Center,44,IDC,1954,0,NA,63,4,0,MI,C,0,0,0,0,79997,,1000,1,0,0,,0,1347370,633261,52306,6,Lakeshore
