building_id,building_type,property_type_primary,zip,council_district_code,neighborhood,year_built,num_buildings,num_floors,gross_floor_area_total_SF,gross_floor_area_parking_SF,gross_floor_area_building_SF,property_types_all,property_type_first,gross_floor_area_property_type_first_SF,property_type_second,property_type_third,energy_star_score,site_eui_KBTUSF,weather_norm_site_eui_KBTUSF,source_eui_KBTUSF,weather_norm_source_eui_KBTUSF,total_site_energy_KBTU,weather_norm_total_site_energy_KBTU,steam_use_KBTU,electricity_KWH,electricity_KBTU,natural_gas_THERMS,natural_gas_KBTU,total_ghg_emissions_MTCO2e,ghg_intensity_KGCO2e,log_total_site_energy_KBTU
19667,Multifamily MR (5-9),Mid-Rise Multifamily,98199,7,MAGNOLIA / QUEEN ANNE,2003,1,5,62876,0,62876,"Medical Office, Multifamily Housing, Office, Parking, Restaurant",Multifamily Housing,44995,Parking,Medical Office,1,18.70000076,18.70000076,58.59999847,58.59999847,967432.8125,967432.8125,0,283538.3125,967433,0,0,6.74,0.11,13.78240126
19668,Multifamily LR (1-4),Low-Rise Multifamily,98102,3,EAST,2006,1,4,40562,0,40562,"Multifamily Housing, Retail Store",Multifamily Housing,36300,Retail Store,,1,33.59999847,34.29999924,81.59999847,82.40000153,1256575.875,1281897.25,0,243106.2969,829479,4270.970215,427097,28.47,0.7,14.04390102
19669,Multifamily MR (5-9),Mid-Rise Multifamily,98012,3,EAST,1910,1,5,40489,0,40489,Multifamily Housing,Multifamily Housing,40489,,,100,39.59999847,42.5,62.5,65.90000153,1603017.5,1720256.75,0,118737,405131,11978.86914,1197887,66.44,1.64,14.28739835
19670,Multifamily LR (1-4),Low-Rise Multifamily,98102,3,EAST,1925,1,3,34800,0,34800,"Multifamily Housing, Parking",Multifamily Housing,28500,Parking,,53,30.70000076,33.59999847,96.40000153,105.4000015,874707,956837.8125,0,256361.9063,874707,0,0,6.1,0.18,13.68164425
19671,Multifamily LR (1-4),Low-Rise Multifamily,98102,3,EAST,1928,1,3,28058,0,28058,"Multifamily Housing, Parking",Multifamily Housing,24169,Parking,,1,31.20000076,34.29999924,72.90000153,81.80000305,753721.125,827996.8125,0,136106.4063,464395,2893.26001,289326,18.6,0.66,13.53277772
19673,Multifamily HR (10+),High-Rise Multifamily,98121,7,DOWNTOWN,2003,1,13,106066,0,106066,"Multifamily Housing, Office",Multifamily Housing,118802,Office,,60,39.90000153,41,85.19999695,86.19999695,4988493.5,5128380,0,759641,2591895,23965.98047,2396598,145.35,1.37,15.42264452
19677,Multifamily MR (5-9),Mid-Rise Multifamily,98121,7,DOWNTOWN,1925,1,9,86560,0,86560,Multifamily Housing,Multifamily Housing,62380,,,51,51.79999924,56.09999847,157.8000031,171.3000031,3229864.5,3499305.5,0,905159.8125,3088405,1414.589966,141459,29.04,0.34,14.98795074
19679,Multifamily HR (10+),High-Rise Multifamily,98121,7,DOWNTOWN,1978,1,13,91600,12365,79235,"Multifamily Housing, Office",Multifamily Housing,65706,Office,,12,53.09999847,56.29999924,166.6999969,176.6999969,4206839.5,4459113,0,1232953.875,4206839,0,0,29.33,0.32,15.25222221
19680,Multifamily MR (5-9),Mid-Rise Multifamily,98121,7,DOWNTOWN,2001,1,6,142063,0,142063,"Multifamily Housing, Parking",Multifamily Housing,71127,Parking,,74,39.5,41.29999924,117.5,122,2807792.75,2938387.5,0,758533,2588115,2196.780029,219678,29.71,0.21,14.84790923
19682,Multifamily MR (5-9),Mid-Rise Multifamily,98121,7,DOWNTOWN,1992,1,8,188717,53284,135433,"Multifamily Housing, Parking",Multifamily Housing,135433,Parking,,86,31,32.40000153,90.09999847,93.40000153,4192895,4381679,0,1093982.625,3732669,4602.260254,460226,50.46,0.27,15.24890198
19685,Multifamily LR (1-4),Low-Rise Multifamily,98121,7,DOWNTOWN,1924,1,3,33400,0,33400,Multifamily Housing,Multifamily Housing,32545,,,83,52.59999847,56.5,85.09999847,90,1713381.75,1837333.5,0,136114.5,464423,12489.58984,1248959,69.57,2.08,14.35397961
19690,Multifamily MR (5-9),Mid-Rise Multifamily,98121,7,DOWNTOWN,1994,1,7,88144,3102,85042,Multifamily Housing,Multifamily Housing,88144,,,29,26.20000076,28,49.09999847,51.40000153,2306723.5,2467526.25,0,267077.5,911268,13954.5498,1395455,80.47,0.91,14.65133868
19694,SPS-District K-12,K-12 School,98122,3,CENTRAL,1925,1,2,37327,0,37327,K-12 School,K-12 School,48887,,,94,40.20000076,44.59999847,73.19999695,77.80000305,1967476.375,2179860.5,0,212356.4063,724560,12429.16309,1242916,71.06,1.9,14.49226225
19695,Multifamily LR (1-4),Low-Rise Multifamily,98109,7,MAGNOLIA / QUEEN ANNE,2000,1,3,37619,0,37619,Multifamily Housing,Multifamily Housing,37619,,,61,29.79999924,32,66.90000153,70,1119640.25,1204152.25,0,188210.2031,642173,4774.67041,477467,29.84,0.79,13.92851799
19696,NonResidential,Retail Store,98144,3,DOWNTOWN,1917,1,2,147545,0,147545,Retail Store,Retail Store,147545,,,68,46,49.70000076,106.9000015,110.8000031,6787070,7339108,0,1211462.625,4133510,26535.5918,2653559,169.75,1.15,15.73052989
19697,Nonresidential COS,Other,98115,4,NORTH,1923,1,2,21462,0,21462,"Office, Other",Other,25778,Office,,1,42.90000153,46.5,134.6999969,146,1114384.625,1207838.75,0,326607.4063,1114384,0,0,7.77,0.36,13.9238129
19699,Multifamily LR (1-4),Low-Rise Multifamily,98199,7,MAGNOLIA / QUEEN ANNE,1993,1,3,24178,0,24178,Multifamily Housing,Multifamily Housing,34476,,,82,22.5,23,56,57.40000153,775728.8125,791513.375,0,156360.0938,533501,2422.279785,242228,16.58,0.69,13.56155827
19704,Multifamily LR (1-4),Low-Rise Multifamily,98144,2,GREATER DUWAMISH,1918,1,3,107518,0,107518,Multifamily Housing,Multifamily Housing,82283,Other - Services,Office,82,49.70000076,52.09999847,98.69999695,104.5999985,4086293,4284962.5,0,537127.375,1832679,22536.14063,2253614,132.47,1.23,15.22314876
19706,Multifamily MR (5-9),Mid-Rise Multifamily,98116,1,SOUTHWEST,1997,1,6,30720,0,30720,Multifamily Housing,Multifamily Housing,30720,,,1,27.60000038,29.10000038,70.09999847,73,846389.3125,894508,0,177421.7969,605363,2410.26001,241026,17.02,0.55,13.64873471
