"","pid","dc_real_pid","pm_pid","property_name","pm_parent_pid","parent_property_name","year_ending","report_status","address_of_record","owner_of_record","ward","reported_address","city","state","postal_code","year_built","primary_ptype_self","primary_ptype_epa","tax_record_floor_area","reported_gross_floor_area","energy_star_score","site_eui","weather_norm_site_eui","source_eui","weather_norm_source_eui","total_ghg_emissions","total_ghg_emissions_intensity","water_use","electricity_use","natural_gas_use","fuel_use","district_water_use","metered_areas_energy","metered_areas_water","latitude","longitude","total_site_energy_KBTU","log_total_site_energy_KBTU","address_reform","x","lat","lon","score"
"1245","PM04369226","0197_0084","4369226","American Association of University Women","Not Applicable: Standalone Property","Not Applicable: Standalone Property","12/31/2016","Data under review by DOEE","1111 16TH ST NW","AMERICAN ASSOCIATION UNIV WOMEN","2","1111 16th Steet NW","Washington","DC",38,1975,"Office","Office",61863,61863,98,227,224,1055,1042,192.3,3.1,318.5,491332.2,NA,NA,NA,"Whole Building","Whole Building",38.90407107,-77.03617822,14042901,16.4576275591498,"1111 16th Steet NW, WASHINGTON, DC","1111 16th Steet NW, WASHINGTON, DC",38.9040197390208,-77.036464940304,100
"1246","PM04369364","01990834;01990835","4369364","Camden Grand Parc","Not Applicable: Standalone Property","Not Applicable: Standalone Property","12/31/2016","In Compliance","900 15TH ST NW; 1555 I ST NW","SUMMIT GRAND PARC LLC","2","910 15th Street NW","Washington","DC",10,1918,"Multifamily Housing","Multifamily Housing",50094,133225,84,257,260,1064,1053,440.5,3.3,2464.5,1002174,9105.783014,NA,NA,"Whole Building","Whole Building",38.90158355,-77.0348295,34238825,17.3488707920602,"910 15th Street NW, WASHINGTON, DC","910 15th Street NW, WASHINGTON, DC",38.9015091367384,-77.0347146581541,100
"1247","PM04369395","1191_0071","4369395","The Foundry Building","Not Applicable: Standalone Property","Not Applicable: Standalone Property","12/31/2016","In Compliance","1055 THOMAS JEFFERSON ST NW","JBG FOUNDRY OFFICE 200","2","1055 Thomas Jefferson Street NW","Washington","DC",17,1976,"Office","Office",331720,244850,86,364,359,280,274,1302.1,5.3,5278,3327452,22.0000028,NA,NA,"Whole Building","Whole Building",38.90393028,-77.05929023,89125400,18.3055549247672,"1055 Thomas Jefferson Street NW, WASHINGTON, DC","1055 Thomas Jefferson Street NW, WASHINGTON, DC",38.9040964071246,-77.0600113642323,100
"1248","PM04369402","0188_0802","4369402","Camden Roosevelt","Not Applicable: Standalone Property","Not Applicable: Standalone Property","12/31/2016","In Compliance","2101 16TH ST NW","SUMMIT ROOSEVELT LLC","1","2101 16th Street NW","Washington","DC",20,1920,"Multifamily Housing","Multifamily Housing",244643,169532,90,291,295,1093,1081,616.5,3.6,6980,1310425,19535.92067,NA,NA,"Whole Building","Whole Building",38.9186611,-77.03606222,49333812,17.7141202457159,"2101 16th Street NW, WASHINGTON, DC","2101 16th Street NW, WASHINGTON, DC",38.9181402777527,-77.0363978967447,100
"1249","PM04370249","0653_0111","4370249","Fund South Capitol LLC","Not Applicable: Standalone Property","Not Applicable: Standalone Property","12/31/2016","In Compliance","1345 SOUTH CAPITOL ST SW","FUND SOUTH CAPITOL LLC","6","1345 South Capitol St. SW","Washington","DC",8,2013,"Multifamily Housing","Multifamily Housing",269995,384480,68,285,284,98,98,1636.1,4.3,7007.7,4179597,135.8921461,NA,NA,"Whole Building","Whole Building",38.87362509,-77.00934882,109576800,18.5121362312389,"1345 South Capitol St. SW, WASHINGTON, DC","1345 South Capitol St. SW, WASHINGTON, DC",38.873879994867,-77.0093247751175,100
"1250","PM04370543","1301_2407","4370543","Georgetown North Condo","Not Applicable: Standalone Property","Not Applicable: Standalone Property","12/31/2016","In Compliance","2600 TUNLAW RD NW","GEORGETOWN NORTH CONDO","3","2600 Tunlaw Rd NW","Washington","DC",17,1950,"Multifamily Housing","Multifamily Housing",70000,70000,NA,491,464,430,392,445.3,6.4,2950.8,1057090,5956.368381,NA,NA,"Whole Building","Whole Building",38.9238312,-77.0756976,34370000,17.352694648826,"2600 Tunlaw Rd NW, WASHINGTON, DC","2600 Tunlaw Rd NW, WASHINGTON, DC",38.9236176301506,-77.075356238199,100
"1251","PM04370572","6242_0834","4370572","St Thomas More","Not Applicable: Standalone Property","Not Applicable: Standalone Property","12/31/2016","Data under review by DOEE","4275 4TH ST SE","ROMAN CATHOLIC ARCHBISHOP WASHINGTON","8","4275 4th St SE","Washington","DC",37,1950,"K-12 School","K-12 School",53697,65431,100,137,118,954,938,103.7,1.6,412.4,258749,465.27648,NA,NA,"Whole Building","Whole Building",38.8254087,-77.0002222,8964047,16.0087323570842,"4275 4th St SE, WASHINGTON, DC","4275 4th St SE, WASHINGTON, DC",38.8282299239729,-77.0006113706174,100
"1253","PM04371687","4371_0819","4371687","The Goodwill Building","Not Applicable: Standalone Property","Not Applicable: Standalone Property","12/31/2016","In Compliance","2200 SOUTH DAKOTA AVE NE","2200 SOUTH DAKOTA AVE LLC","5","2200 South Dakota Avenue NE","Washington","DC",31,1982,"Distribution Center","Distribution Center",93480,89900,52,434,430,257,235,483.6,5.4,576.9,1070048,12214.45454,NA,NA,"Whole Building","Whole Building",38.9200201,-76.95849178,39016600,17.4794977545601,"2200 South Dakota Avenue NE, WASHINGTON, DC","2200 South Dakota Avenue NE, WASHINGTON, DC",38.9199794201152,-76.9576170094167,100
"1254","PM04371872","1829_0055","4371872","Devonshire Court South","Not Applicable: Standalone Property","Not Applicable: Standalone Property","12/31/2016","In Compliance","4105 WISCONSIN AVE NW","4105 WISCONSIN LLC","3","4105 Wisconsin Ave NW","Washington","DC",27,1925,"Multifamily Housing","Multifamily Housing",55896,55896,NA,607,606,355,341,352.2,6.3,1967,653519.1,18156.35418,NA,NA,"Whole Building","Whole Building",38.94259214,-77.07619739,33928872,17.3397768912918,"4105 Wisconsin Ave NW, WASHINGTON, DC","4105 Wisconsin Ave NW, WASHINGTON, DC",38.9422619791081,-77.0764524704044,100
"1255","PM04372403","1318_2410","4372403","Phylmar Plaza","Not Applicable: Standalone Property","Not Applicable: Standalone Property","12/31/2016","In Compliance","4100 W ST NW","PHYLMAR PLAZA CONDO","3","4100 W Street NW","Washington","DC",17,1957,"Multifamily Housing","Multifamily Housing",60736,61000,15,610,606,451,450,412,6.8,185,840338,15656.2257,NA,NA,"Whole Building","Whole Building",38.9192954,-77.0817628,37210000,17.4320881003228,"4100 W Street NW, WASHINGTON, DC","4100 W Street NW, WASHINGTON, DC",38.9191000890989,-77.0797797488356,100
