"","report_status","ward","postal_code","year_built","primary_ptype_self","primary_ptype_epa","tax_record_floor_area","reported_gross_floor_area","water_use","metered_areas_energy","metered_areas_water","electricity_use","natural_gas_use","energy_star_score","site_eui","weather_norm_site_eui","source_eui","weather_norm_source_eui","total_ghg_emissions","total_ghg_emissions_intensity","total_site_energy_KBTU","log_total_site_energy_KBTU"
"409","In Compliance","5","20018",2004,"K-12 School","K-12 School",42813,42813,217.3,"Whole Building","Whole Building",656583.8,1169.554844,55,55.1,55.2,167.2,167.4,263.1,6.1,2358996.3,14.6737467899274
"410","In Compliance","2","20005",1994,"Hotel","Hotel",392603,450000,21898,"Whole Building","Whole Building",6248627,94669.004,79,68.4,68.4,170.9,170.9,2947.8,6.6,30780000,17.242375686375
"411","In Compliance","2","20004",1984,"Hotel","Hotel",602234,695364,32647,"Whole Building","Whole Building",9643804,160012.9998,61,70.3,70.7,172.7,173.1,4623.4,6.6,48884089.2,17.7049625272663
"412","In Compliance","2","20037",1981,"Hotel","Hotel",304053,304053,13764,"Whole Building","Whole Building",5666638,53087.00161,49,81,80.8,218,217.3,2499.3,8.2,24628293,17.0194064619702
"414","In Compliance","2","20005",1999,"Hotel","Hotel",255003,160614,6974,"Whole Building","Whole Building",2491462,38256.00098,59,76.7,75.9,191.2,187,1178.1,7.3,12319093.8,16.3266609581695
"415","In Compliance","2","20037",1990,"Hotel","Hotel",226694,198000,11310,"Whole Building","Whole Building",3934293,92445.9972,28,114.5,114.3,261.9,258,2030.5,10.3,22671000,16.936597132671
"417","In Compliance","3","20007",2003,"Hotel","Hotel",137000,137000,6120,"Whole Building","Whole Building",2623886,52028.9944,31,103.3,103.9,245.1,245.6,1303,9.5,14152100,16.4653735809359
"418","In Compliance","6","20002",2009,"Hotel","Hotel",137974,159857,5449,"Whole Building","Whole Building",2908371,24852.99943,31,77.6,77,211.2,209.4,1270,7.9,12404903.2,16.3336023717725
"419","In Compliance","1","20009",2005,"Multifamily Housing","Multifamily Housing",144773,178156,6478.5,"Whole Building","Whole Building",1696614,43880.0487,67,57.1,58.3,127.9,128.4,896.9,5,10172707.6,16.1352189666124
"420","In Compliance","6","20590",2005,"Office","Office",1918668,1583819,39689,"Whole Building","Whole Building",24779820,182080.9912,93,64.9,64.9,179.7,178,10663.1,6.7,102789853.1,18.4481972008607
"421","In Compliance","6","20002",1926,"Office","Office",59178,54874,500,"Whole Building","Whole Building",539218,360.000003,NA,34.2,34.2,106,106,212.9,3.9,1876690.8,14.4450205710454
"422","In Compliance","6","20024",1971,"Office","Mixed Use Property",349121,819867,11148,"Whole Building","Whole Building",9607828,93369.00102,NA,51.4,51.5,137.5,136.3,4255.3,5.2,42141163.8,17.5565355834246
"423","In Compliance","2","20001",1989,"Office","Office",495847,473143,4877.4,"Whole Building","Whole Building",7003489,NA,91,50.5,50.5,158.6,158.6,2740.4,5.8,23893721.5,16.9891262836456
"424","In Compliance","6","20001",1912,"Multifamily Housing","Multifamily Housing",174591,174591,2365.1,"Whole Building","Whole Building",983906,NA,87,19.2,19.2,60.4,60.4,385,2.2,3352147.2,15.0251116537011
"425","In Compliance","3","20007",1905,"Office","Office",397633,208052,1903,"Whole Building","Whole Building",2892835,NA,89,47.4,47.4,149,149,1131.9,5.4,9861664.8,16.1041655561397
"426","In Compliance","3","20007",1958,"Office","Office",124930,122884,1060,"Whole Building","Whole Building",1709436,9431.000444,79,55.1,55.6,157.1,156.6,719,5.9,6770908.4,15.7281458160939
"427","In Compliance","2","20036",1981,"Office","Office",125000,132946,1685,"Whole Building","Whole Building",2072639,NA,80,53.2,53.8,167,169,811,6.1,7072727.2,15.7717567060675
"428","In Compliance","2","20036",1953,"Office","Office",171080,142750,5371.9,"Whole Building","Whole Building",1918305,13470.35414,88,55.3,54.8,153.9,151.4,822.2,5.8,7894075,15.8816230360465
"429","In Compliance","4","20012",1956,"Non-Refrigerated Warehouse","Non-Refrigerated Warehouse",161798,209707,783.9,"Whole Building","Whole Building",1485222,14227.35485,87,30.9,31.7,83,83.8,656.7,3.1,6479946.3,15.6842227812571
"430","In Compliance","2","20037",1975,"Multifamily Housing","Multifamily Housing",97188,113721,3864.9,"Whole Building","Whole Building",1363750,74863.1177,1,106.7,108.7,197.6,198.2,931.3,8.2,12134030.7,16.3115245175619
"431","In Compliance","1","20009",1997,"Multifamily Housing","Multifamily Housing",328289,328289,2567.3,"Whole Building","Whole Building",334763.1,10473.90457,100,6.7,6.7,14.3,14.3,186.6,0.6,2199536.3,14.6037571233856
"432","In Compliance","5","20017",1958,"Residence Hall/Dormitory","Residence Hall/Dormitory",482879,71168,2564.3,"Whole Building","Whole Building",439173.3,45523.47919,76,85,88.1,133.3,135.9,413.6,5.8,6049280,15.6154498146605
"434","In Compliance","5","20017",1910,"College/University","College/University",482879,348864,2857.3,"Whole Building","Whole Building",4146678,241930.5907,NA,109.9,113,200.2,202.9,2907.5,8.3,38340153.6,17.4620083018335
"437","In Compliance","1","20059",1937,"Residence Hall/Dormitory","Residence Hall/Dormitory",83444,83444,17017.2,"Whole Building","Whole Building",178.5,12285.25738,100,14.7,15.2,15.5,16,65.3,0.8,1226626.8,14.0197785209489
"438","Data under review by DOEE","1","20059",1939,"Residence Hall/Dormitory","Residence Hall/Dormitory",83444,75000,2247.9,"Whole Building","Whole Building",46859,NA,100,2.1,2.1,6.7,6.7,18.3,0.2,157500,11.9671807372478
"442","Data under review by DOEE","5","20018",1962,"Other","Other",258459,173250,487.4,"Whole Building","Whole Building",4846951,143824.386,NA,178.5,184,386.9,392.7,2660.5,15.4,30925125,17.2470795182718
"445","In Compliance","2","20001",1997,"Senior Care Community","Hotel",541425,715000,27531,"Whole Building","Whole Building",9686754,139396.995,71,65.7,66.2,165.6,166.1,4530.7,6.3,46975500,17.6651367471667
"446","In Compliance","2","20001",1991,"Office","Office",541425,342799,7260.1,"Whole Building","Whole Building",8840465,NA,75,88,87.6,276.3,275,3459.2,10.1,30166312,17.2222363630269
"447","In Compliance","1","20009",1940,"Supermarket/Grocery Store","Mixed Use Property",116690,94433,1697,"Whole Building","Whole Building",753043.5,NA,100,27.2,27.2,85.4,85.4,294.7,3.1,2568577.6,14.7588628406192
"448","Data under review by DOEE","1","20009",1940,"Mixed Use Property","Other",116690,116689,3384.2,"Whole Building","Whole Building",3148648,20725.17891,NA,109.8,110.6,307.7,308.5,1342.1,11.5,12812452.2,16.3659280841242
"451","In Compliance","1","20059",2014,"Residence Hall/Dormitory","Residence Hall/Dormitory",65892,138829,7032.4,"Whole Building","Whole Building",1121658,NA,89,27.6,27.6,86.6,86.6,438.9,3.2,3831680.4,15.1588140116719
"452","In Compliance","1","20059",2014,"Residence Hall/Dormitory","Residence Hall/Dormitory",65892,254983,12761.8,"Whole Building","Whole Building",1972947,NA,88,26.4,25.4,82.9,79.7,772,3,6731551.2,15.7223161654038
"455","In Compliance","2","20006",1972,"Office","Medical Office",258300,175073,4466.5,"Whole Building","Whole Building",2893319,24.09375125,84,56.4,57.8,177.1,181.4,1132.2,6.5,9874117.2,16.1054274672869
"456","In Compliance","2","20006",1967,"Office","Office",34254,34254,598.5,"Whole Building","Whole Building",476178.8,6287.937533,66,65.8,67.1,168.2,167.7,219.7,6.4,2253913.2,14.6281784635236
"457","In Compliance","5","20018",1985,"Office","Office",95000,99037,1941.7,"Whole Building","Whole Building",3648651,NA,NA,125.7,125.7,394.7,394.7,1427.7,14.4,12448950.9,16.3371469122642
"458","In Compliance","5","20018",1985,"Office","Office",95000,57836,1146.5,"Whole Building","Whole Building",2772084,17833.23022,NA,194.4,194.6,545.9,542.4,1179.4,20.4,11243318.4,16.2352845901744
"463","In Compliance","1","20009",1950,"Multifamily Housing","Multifamily Housing",127257,127257,6120.1,"Whole Building","Whole Building",787093.6,63096.38978,75,70.7,71.9,118.3,117.7,643.1,5.1,8997069.9,16.0124095156255
"464","Data under review by DOEE","1","20009",1927,"Multifamily Housing","Multifamily Housing",127257,127257,2322.2,"Whole Building","Whole Building",326666.1,33432.75056,100,35,36.4,55.1,56.5,305.4,2.4,4453995,15.3093120042124
"467","In Compliance","3","20007",2001,"Residence Hall/Dormitory","Residence Hall/Dormitory",271712,74541,3773.9,"Whole Building","Whole Building",1051816,22270.39927,50,78,77.6,182.5,178.3,529.9,7.1,5814198,15.5758134152486
"468","In Compliance","3","20007",2010,"Residence Hall/Dormitory","Residence Hall/Dormitory",271712,139591,5630.5,"Whole Building","Whole Building",2059970,51523.22433,35,87.3,88.3,196.9,196.6,1079.7,7.7,12186294.3,16.3158224601637
"469","In Compliance","3","20007",2011,"College/University","College/University",271712,58039,108,"Whole Building","Whole Building",546512.4,8408.525077,NA,46.6,46.8,116.1,115,258.5,4.5,2704617.4,14.8104710184844
"472","In Compliance","2","20036",1967,"Multifamily Housing","Multifamily Housing",101476,101476,6141.5,"Whole Building","Whole Building",1077132,46435.58753,58,82,83.3,161.8,160.9,668.1,6.6,8321032,15.9342968435668
"473","Data under review by DOEE","2","20036",1945,"Multifamily Housing","Multifamily Housing",101476,68660,3248976.2,"Whole Building","Whole Building",600818.1,33675.9986,NA,78.9,80,145.3,144.6,414,6,5417274,15.5051032948635
"474","In Compliance","6","20001",2013,"Supermarket/Grocery Store","Supermarket/Grocery Store",56090,66909,1581.6,"Whole Building","Whole Building",2898469,19987.39195,100,177.7,175.9,495.5,490,1240.3,18.5,11889729.3,16.2911855013767
"475","In Compliance","6","20001",2014,"Multifamily Housing","Mixed Use Property",213401,426416,19295.4,"Whole Building","Whole Building",7303085,83093.80665,15,77.9,78,204,202,3299,7.7,33217806.4,17.3185966274586
"476","In Compliance","2","200362103",1962,"Office","Office",173315,112278,2463.5,"Whole Building","Whole Building",1446595,30794.01213,80,71.4,72.5,166.8,165.8,729.6,6.5,8016649.2,15.8970310870514
"477","In Compliance","2","20036",1964,"Office","Office",173315,67068,864,"Whole Building","Whole Building",1267353,18816.29234,55,92.5,94.4,231.9,232.1,595.8,8.9,6203790,15.6406709535761
"480","In Compliance","5","20002",1864,"College/University","College/University",2199157,2199157,58177,"Whole Building","Whole Building",34205020,1426622.694,NA,117.9,118.5,234.8,233.5,20961.4,9.5,259280610.3,19.3734214706208
"482","In Compliance","2","20005",2001,"Hotel","Hotel",154697,136005,7008.7,"Whole Building","Whole Building",2254039,25247.16508,49,75.1,75.3,197.1,195.6,1016.1,7.5,10213975.5,16.1392674875184
"483","In Compliance","2","20005-2806",2001,"Hotel","Hotel",154697,131148,7008.7,"Whole Building","Whole Building",2254039,25368.35266,48,78,78.2,204.4,202.7,1016.7,7.8,10229544,16.1407905621543
"484","In Compliance","2","20036",1963,"Office","Office",101337,65799,1483.5,"Whole Building","Whole Building",1374755,NA,70,71.3,71,223.8,223,537.9,8.2,4691468.7,15.3612562470498
"485","In Compliance","2","20036",1963,"Office","Office",101337,73168,1484.8,"Whole Building","Whole Building",2059592,NA,38,96,95.7,301.6,300.6,805.9,11,7024128,15.7648616373657
"490","In Compliance","2","20037",2000,"Multifamily Housing","Multifamily Housing",69225,67540,3466.5,"Whole Building","Whole Building",1132939,21683.82323,6,89.3,89.8,213.4,212.5,558.5,8.3,6031322,15.612476781822
"492","In Compliance","2","20005",1982,"Hotel","Hotel",430128,330100,8113,"Whole Building","Whole Building",5511707,187736.0011,28,113.8,116.1,238.6,241,3153.8,9.6,37565380,17.4415934395335
"493","In Compliance","2","20005",1982,"Hotel","Hotel",430128,443204,8062.5,"Whole Building","Whole Building",5511712,187743.0705,52,84.8,86.5,177.7,179.5,3153.9,7.1,37583699.2,17.4420809824431
"496","In Compliance","2","20036",1965,"Office","Office",155462,101978,2402.2,"Whole Building","Whole Building",1932279,20541.68819,73,84.8,85.7,224.2,222.5,865.2,8.5,8647734.4,15.9728079255261
"497","In Compliance","2","20036",1965,"Office","Office",155462,104858,2402.2,"Whole Building","Whole Building",1462096,19199.15852,NA,65.9,66.8,168.6,167.4,674.1,6.4,6910142.2,15.7485007744033
"498","In Compliance","6","20001",2008,"Multifamily Housing","Multifamily Housing",257730,324296,10611.9,"Whole Building","Whole Building",2117701,67582.92885,91,43.1,43.6,91.8,91.3,1187.6,3.7,13977157.6,16.4529349550706
"499","In Compliance","6","20001",2008,"Strip Mall","Strip Mall",257730,257730,6830.9,"Whole Building","Whole Building",3533622,NA,NA,46.8,46.8,146.9,146.9,1382.7,5.4,12061764,16.3055510072238
"500","In Compliance","2","20005",2006,"Office","Office",453141,313852,6208.9,"Whole Building","Whole Building",5693284,NA,83,61.9,60.9,194.3,191.3,2227.7,7.1,19427438.8,16.7821969958868
"501","In Compliance","2","20005",2006,"Office","Office",453141,322448,6208.8,"Whole Building","Whole Building",6435764,2500.825163,77,68.9,67.8,214.6,211.3,2531.5,7.9,22216667.2,16.9163533399269
"502","In Compliance","2","20036",1933,"Multifamily Housing","Multifamily Housing",64042,64042,890.9,"Whole Building","Whole Building",484217,21044.00096,79,58.7,59.6,115.5,115.4,301.2,4.7,3759265.4,15.139734123938
"503","In Compliance","1","20009",1940,"Multifamily Housing","Multifamily Housing",84582,84582,3994.4,"Whole Building","Whole Building",525341,25460.17126,94,51.3,51.4,98.1,96.8,340.8,4,4339056.6,15.2831675091757
"504","In Compliance","2","20052",1967,"Office","Office",70308,71543,1252.9,"Whole Building","Whole Building",1098569,18759.9096,61,78.6,80.7,192,192.8,529.5,7.4,5623279.8,15.542425645951
"505","In Compliance","2","20052",1975,"Residence Hall/Dormitory","Residence Hall/Dormitory",396467,34198,1331.8,"Another configuration","Whole Building",262400.1,4621.599972,90,39.7,39.2,96.4,94.4,127.2,3.7,1357660.6,14.1212736295017
"506","In Compliance","2","20052",1951,"College/University","College/University",396467,325060,7351.7,"Another configuration","Whole Building",5847863,180052.3164,NA,117.6,117.9,251.8,249,3265.4,10,38227056,17.4590540951217
"507","In Compliance","2","20052",2001,"College/University","College/University",396467,359258,8683.4,"Whole Building","Whole Building",6110264,184673.9164,NA,110.2,110.4,237,234.3,3392.6,9.4,39590231.6,17.4940929690273
"508","In Compliance","6","20002",2007,"Multifamily Housing","Multifamily Housing",62786,62786,1651.6,"Whole Building","Whole Building",304049,9528.161155,94,31.7,31.4,67.8,65.8,169.6,2.7,1990316.2,14.5038040785506
"509","In Compliance","6","20002",2009,"Multifamily Housing","Multifamily Housing",432815,548941,24136.6,"Whole Building","Whole Building",7041108,149885.3788,15,71.1,70.9,166.1,162.4,3551.2,6.5,39029705.1,17.4798335834019
"510","In Compliance","2","20037",1931,"Urgent Care/Clinic/Other Outpatient","Urgent Care/Clinic/Other Outpatient",79531,79186,6625.3,"Whole Building","Whole Building",1095831.4,NA,NA,47.2,47.2,148.3,148.3,428.8,5.4,3737579.2,15.133948687092
"511","In Compliance","3","20008",1968,"Multifamily Housing","Multifamily Housing",192664,192638,6226.2,"Whole Building","Whole Building",933013.4,82220.55836,77,59.2,60.6,96.7,96.9,801.8,4.2,11404169.6,16.2494896008789
"512","In Compliance","6","20024",2010,"Other - Entertainment/Public Assembly","Other - Entertainment/Public Assembly",194088,199958.6,6995,"Whole Building","Whole Building",3737314,122264.8268,NA,124.9,125.8,264.4,263.4,2111.8,10.6,24974829.14,17.0333790412342
"513","In Compliance","2","20037",1978,"Urgent Care/Clinic/Other Outpatient","Urgent Care/Clinic/Other Outpatient",79531,236469,5008.7,"Whole Building","Whole Building",4712039.3,120773.1213,NA,120.2,120.3,268.3,266.6,2505.7,10.6,28423573.8,17.1627294221996
"514","In Compliance","2","20005",2002,"Hotel","Hotel",177323,172519,12110,"Whole Building","Whole Building",3869675,112027.0021,18,141.5,142.8,308.5,308,2109.2,12.2,24411438.5,17.0105623713989
"515","In Compliance","2","20005",2002,"Hotel","Hotel",177323,177323,16195.5,"Whole Building","Whole Building",3869680,112033.7683,14,137.6,139,300.1,299.6,2109.2,11.9,24399644.8,17.0100791327804
"516","Data under review by DOEE","2","20052",1945,"Residence Hall/Dormitory","Residence Hall/Dormitory",81153,49662,2102.9,"Another configuration","Whole Building",362108.4,9179.32719,88,43.4,42.8,97.5,95,190.4,3.8,2155330.8,14.5834547732198
"517","Data under review by DOEE","2","20052",1945,"Residence Hall/Dormitory","Residence Hall/Dormitory",81153,81082,5965.7,"Whole Building","Whole Building",577463.6,4005.054618,93,29.2,28.3,81.5,78.6,247.2,3,2367594.4,14.6773849765315
"519","In Compliance","2","20005",1985,"Retail Store","Retail Store",215108,272371,2486.9,"Whole Building","Whole Building",2698298,NA,94,33.8,33.4,106.1,105,1055.8,3.9,9206139.8,16.0353811889924
"520","In Compliance","2","20036",1962,"Multifamily Housing","Multifamily Housing",129621,175321,7959.2,"Whole Building","Whole Building",1357527,76782.2351,66,70.2,71.8,128.9,130.6,939,5.4,12307534.2,16.325722169404
"521","In Compliance","2","20037",1995,"Multifamily Housing","Multifamily Housing",226803,226803,4063.8,"Whole Building","Whole Building",2183708,50532.9093,44,55.1,55.9,126.5,127.4,1122.9,5,12496845.3,16.3409867944203
"523","In Compliance","2","20036",2008,"Hotel","Hotel",1050362,625233,43965,"Whole Building","Whole Building",10576090,423237.9876,18,125.4,126.3,252.3,252.2,6386.3,10.2,78404218.2,18.1773882874447
"524","In Compliance","3","20008",1978,"Hotel","Hotel",280000,1300000,74300,"Whole Building","Whole Building",22175390,891939.027,24,128.6,129.4,256.6,256.2,13587.8,10.5,167180000,18.9345816342353
"525","In Compliance","3","20008",2014,"Multifamily Housing","Multifamily Housing",280000,397870,8141.9,"Whole Building","Whole Building",3019732,140516.8754,53,61.2,62.5,118.4,118.9,1927.9,4.8,24349644,17.0080277872628
"530","Data under review by DOEE","2","20002",1937,"Distribution Center","Distribution Center",278364,468740,1162.6,"Whole Building","Whole Building",798022.3,NA,NA,5.8,5.8,18.2,18.2,312.3,0.7,2718692,14.8156614402582
"531","Data under review by DOEE","2","20005",1982,"Office","Office",278364,251116,2984.9,"Whole Building","Whole Building",2731601,NA,NA,37.1,37.1,116.5,116.5,1068.8,4.3,9316403.6,16.0472872323627
"532","Data under review by DOEE","2","20005",1905,"Office","Office",197259,120044,3891,"Whole Building","Whole Building",6687586,NA,1,190.1,190.1,596.9,596.9,2616.8,21.8,22820364.4,16.9431638707194
"533","In Compliance","6","20001",2003,"Other - Entertainment/Public Assembly","Other - Entertainment/Public Assembly",2300000,2300000,2205.8,"Whole Building","Whole Building",28097920,3493043.092,NA,193.6,211.4,290.3,307.9,29188.2,12.7,445280000,19.9142138557419
"534","In Compliance","2","20007",1964,"Office","Office",123068,123068,2501.8,"Whole Building","Whole Building",1677545,14645.27671,85,58.4,58.9,158.5,157.7,734.2,6,7187171.2,15.7878082169544
"535","In Compliance","4","20011",1926,"K-12 School","K-12 School",86120,86120,1371.8,"Whole Building","Whole Building",1429226,27079.00103,26,88.1,89.3,210.8,210,684.8,8,7587172,15.8419694844204
"536","In Compliance","5","20017",1911,"K-12 School","K-12 School",69400,69400,2950.8,"Whole Building","Whole Building",799040,46690.00393,23,106.6,110.7,194,198.3,550.4,7.9,7398040,15.8167256582266
"537","In Compliance","5","20018",1921,"K-12 School","K-12 School",63900,63900,4983.3,"Whole Building","Whole Building",737360,45070.99793,19,109.9,114.8,197.7,201.3,518.5,8.1,7022610,15.7646455017752
"538","In Compliance","7","20019",1976,"K-12 School","K-12 School",95000,95000,998,"Whole Building","Whole Building",1130042.2,13168.99897,24,54.4,NA,129.7,NA,497.7,5.2,5168000,15.4579963244446
"539","In Compliance","2","20009",2013,"K-12 School","K-12 School",394000,394000,7110.7,"Whole Building","Whole Building",3991177,38933.00242,88,44.4,44.9,118.9,118.7,1717.4,4.4,17493600,16.6773456577182
"540","In Compliance","6","20001",1912,"K-12 School","K-12 School",53000,53000,207.4,"Whole Building","Whole Building",698443,10799.9986,36,65.3,67.5,162.6,164.8,321.7,6.1,3460900,15.0570392288166
"541","In Compliance","4","20011",1940,"K-12 School","K-12 School",271300,271300,9023,"Whole Building","Whole Building",1937282,87039.99459,82,56.4,58.6,110.2,112.2,1195.6,4.4,15301320,16.543449657151
"542","In Compliance","3","20016",1931,"K-12 School","K-12 School",181000,181000,4347.9,"Whole Building","Whole Building",3878833,171409.9961,1,167.8,171.4,329,331.5,2378.6,13.1,30371800,17.2290251042811
"543","In Compliance","6","20024",1987,"Office","Office",160748,120838,1847.6,"Whole Building","Combination of common and tenant areas",2490555,NA,80,70.3,70.3,220.8,220.8,974.5,8.1,8494911.4,15.9549778833693
"544","In Compliance","7","20019",1959,"K-12 School","K-12 School",72800,72800,3436.1,"Whole Building","Whole Building",649253,22422.99922,62,61.2,63.2,127.9,130,364.8,5,4455360,15.3096184237031
"545","In Compliance","6","20001",2014,"K-12 School","K-12 School",252384,252384,6509.2,"Whole Building","Whole Building",3828036,16297.99995,70,58.2,58.3,169.3,154.7,1535.5,6.1,14688748.8,16.5025923709351
"546","In Compliance","6","20003",1923,"K-12 School","K-12 School",288800,288800,6759.6,"Whole Building","Whole Building",3564112.5,37242.99953,60,55,NA,145.2,NA,1546.8,5.4,15884000,16.5808228712333
"547","In Compliance","3","20008",1911,"K-12 School","K-12 School",49100,49100,2924183.2,"Whole Building","Whole Building",483891,20384.00202,31,75.1,78.9,149.2,151.1,291.4,5.9,3687410,15.1204348725527
"548","In Compliance","6","20002",1931,"K-12 School","K-12 School",155100,155100,7483.6,"Whole Building","Whole Building",1406297,60583.99765,34,70,73.4,138.2,140.3,854.1,5.5,10857000,16.200320591214
"549","In Compliance","5","20002",1908,"Residence Hall/Dormitory","Residence Hall/Dormitory",39000,39000,1940.1,"Whole Building","Whole Building",324256,33743.99987,27,114.9,120.6,179.9,184.5,302,7.7,4481100,15.3153791099665
"550","In Compliance","2","20037",1927,"K-12 School","K-12 School",95100,95100,5893.5,"Whole Building","Whole Building",828255,50858.00264,52,83.2,88.2,149.5,153.3,583.6,6.1,7912320,15.8839315963606
"551","In Compliance","8","20020",1910,"K-12 School","K-12 School",58908,58908,2794.1,"Whole Building","Whole Building",542892,29907.00236,48,82.2,86.1,152,154.9,364.3,6.2,4842237.6,15.3928874859082
"552","In Compliance","1","20009",1964,"K-12 School","K-12 School",60200,60200,3831.8,"Whole Building","Whole Building",453764.1,29608.00178,73,74.9,NA,128.4,NA,329,5.5,4508980,15.3215815218201
"553","In Compliance","5","20002",1959,"Other - Education","K-12 School",59200,59200,4633.4,"Whole Building","Whole Building",468084,19884.00127,76,60.6,62.7,120,122.2,282.8,4.8,3587520,15.0929717139474
"554","In Compliance","2","20037",1882,"K-12 School","K-12 School",66404,66404,1768243.6,"Whole Building","Whole Building",826868,21373.00103,22,74.7,77,167.2,169.6,426.5,6.4,4960378.8,15.4169926667527
"555","In Compliance","6","20001",1909,"K-12 School","K-12 School",85708,85708,6812.1,"Whole Building","Whole Building",1059840,21104.00107,37,66.8,68,158.3,157.9,513.2,6,5725294.4,15.5604045296632
"556","In Compliance","8","20032",1956,"K-12 School","K-12 School",210700,210700,32538,"Whole Building","Whole Building",1590292,54583.99832,52,51.7,52.5,108.1,106.1,891.8,4.2,10893190,16.2036483813067
"557","In Compliance","2","20008",1932,"K-12 School","K-12 School",46484,46484,5562.1,"Whole Building","Whole Building",912644,10947.99953,23,90.5,91.7,235.1,236.3,403.6,8.7,4206802,15.2522132970486
"558","In Compliance","1","20032",1959,"K-12 School","K-12 School",73200,73200,2756,"Whole Building","Whole Building",872352,9498.999941,63,53.6,54.6,141.3,142.3,380.6,5.2,3923520,15.1824997680262
"559","In Compliance","7","20019",1962,"K-12 School","K-12 School",59900,59900,0,"Whole Building","Whole Building",538880,20455.0002,51,64.8,67.1,132.2,133.7,312.6,5.2,3881520,15.1717373874618
"560","In Compliance","2","20007",1907,"K-12 School","K-12 School",110100,110100,5868.7,"Whole Building","Whole Building",270081,131.0000133,NA,8.5,8.5,26.4,26.4,102.9,0.9,935850,13.749210486207
"561","In Compliance","3","20016",1925,"K-12 School","K-12 School",85039,85039,2615.1,"Whole Building","Whole Building",1666655,23273.00011,7,94.2,96,238.7,240.5,754.4,8.9,8010673.8,15.8962854353569
"562","In Compliance","6","20024",1940,"K-12 School","K-12 School",109000,109000,5331.9,"Whole Building","Whole Building",806121,63478.9997,38,83.5,89.9,140.4,146.2,642.3,5.9,9101500,16.0239497930681
"563","In Compliance","8","20020",1970,"K-12 School","K-12 School",182500,182500,7351.7,"Whole Building","Whole Building",1692239,45451.00224,41,56.5,59.2,125.5,128.3,881.9,4.8,10311250,16.1487460901571
"564","In Compliance","7","20019",2004,"K-12 School","K-12 School",115000,115000,1577.6,"Whole Building","Whole Building",1912527,30877.00384,14,83.6,84.8,206.4,204.8,887.9,7.7,9614000,16.078730927436
"565","In Compliance","8","20020",1909,"K-12 School","K-12 School",88300,88300,2802.9,"Whole Building","Whole Building",1428039,31347.99924,9,90.7,94.2,210.5,214.2,707,8,8008810,15.8960527437131
"566","In Compliance","3","20016",1928,"K-12 School","K-12 School",50000,50000,13638.5,"Whole Building","Whole Building",545811,13405.00081,53,64.1,66.3,145.1,145.7,277.8,5.6,3205000,14.9802226483369
"568","In Compliance","7","20019",1942,"K-12 School","K-12 School",83400,83400,6063.6,"Whole Building","Whole Building",541677,39882.99785,56,70,73.8,119.8,122.8,416.9,5,5838000,15.5798988303962
"569","In Compliance","8","20020",2015,"K-12 School","K-12 School",154000,154000,4344.8,"Whole Building","Whole Building",2413943.8,18967.99925,12,65.8,NA,179.4,NA,1014.4,6.6,10133200,16.131327719727
"570","In Compliance","4","20011",1957,"K-12 School","K-12 School",83000,83000,769.2,"Whole Building","Whole Building",1044245,31774.99795,5,81.2,83.8,175,177.7,564,6.8,6739600,15.7235111339464
"571","In Compliance","3","20015",1931,"K-12 School","K-12 School",113600,113600,840.1,"Whole Building","Whole Building",736318.1,NA,NA,22.1,NA,69.4,NA,278.7,2.5,2510560,14.7360163937929
"572","In Compliance","5","20018",1930,"K-12 School","K-12 School",101400,101400,3882.8,"Whole Building","Whole Building",930675,19988.00001,64,51,53.1,119,121.2,458.4,4.5,5171400,15.4586540028635
"573","In Compliance","8","20032",1970,"K-12 School","K-12 School",65000,65000,3733.9,"Whole Building","Whole Building",1004414,8856.99848,31,66.4,66.4,179.9,179.9,427.2,6.6,4316000,15.2778396053602
"574","In Compliance","6","20002",1969,"K-12 School","K-12 School",66900,66900,4584.3,"Whole Building","Whole Building",767209,25020.00144,46,76.5,78.8,162.1,163.2,423.3,6.3,5117850,15.4482449869488
"575","In Compliance","7","20019",1891,"K-12 School","K-12 School",65751,65751,1438831.4,"Whole Building","Whole Building",1099304,26456.00093,12,97.3,99.6,221.4,221,556.6,8.5,6397572.3,15.6714291482418
"576","In Compliance","8","20032",1972,"Social/Meeting Hall","Social/Meeting Hall",110800,110800,5632.3,"Whole Building","Whole Building",595391,6275.000087,NA,24,24.5,63.5,64.1,258.7,2.3,2659200,14.7935358836433
"577","In Compliance","3","20016",1931,"K-12 School","K-12 School",60969,60969,2197,"Whole Building","Whole Building",680328,7909.999735,73,51,51.8,133.2,133.9,299.5,4.9,3109419,14.9499464499827
"578","In Compliance","8","20032",1971,"K-12 School","K-12 School",65500,65500,2831.9,"Whole Building","Whole Building",726718.6,30256.00155,32,84,NA,166.1,NA,435.8,6.7,5502000,15.5206222204667
"579","In Compliance","5","20002",1886,"K-12 School","K-12 School",65000,65000,842.2,"Whole Building","Whole Building",753361,9747.999752,5,54.5,55.5,139.9,140.9,336.9,5.2,3542500,15.080343250547
"580","In Compliance","6","20002",2003,"K-12 School","K-12 School",76900,76900,10361.4,"Whole Building","Whole Building",837573.4,21617.00049,55,65.3,NA,136.5,NA,431.8,5.6,5021570,15.4292531917761
