"","report_status","ward","postal_code","year_built","primary_ptype_self","primary_ptype_epa","tax_record_floor_area","reported_gross_floor_area","water_use","metered_areas_energy","metered_areas_water","electricity_use","natural_gas_use","energy_star_score","site_eui","weather_norm_site_eui","source_eui","weather_norm_source_eui","total_ghg_emissions","total_ghg_emissions_intensity","total_site_energy_KBTU","log_total_site_energy_KBTU"
"106","In Compliance","2","20006",1975,"Office","Office",128767,132859.1,2526.2,"Whole Building","Whole Building",2715673,NA,78,69.7,69.3,219,217.6,1062.6,8,9260279.27,16.0412447649149
"107","In Compliance","5","20017",1956,"Outpatient Rehabilitation/Physical Therapy","Outpatient Rehabilitation/Physical Therapy",627221,169000,8810.6,"Whole Building","Whole Building",2434800,8820.00018,NA,54.4,54.4,159.8,159.9,999.6,5.9,9193600,16.0340181477671
"108","In Compliance","2","20001",1989,"Office","Office",562746,366575.6,78.1,"Whole Building","Whole Building",6591819,NA,85,61.4,61.4,192.7,192.7,2579.3,7,22507741.84,16.9293698897699
"109","In Compliance","2","20004",1984,"Office","Office",56415,594284.4,10299,"Whole Building","Whole Building",9323248,NA,88,53.5,53.3,168.1,167.4,3648.1,6.1,31794215.4,17.2747949255432
"110","In Compliance","6","20002",1973,"Office","Office",318096,314317,4436.4,"Whole Building","Whole Building",5133158,569.6292862,79,55.9,55.9,175.2,175.2,2011.6,6.4,17570320.3,16.6817216899345
"111","In Compliance","2","20006",2002,"Office","Office",267097,208952,2451.8,"Whole Building","Whole Building",3823531,NA,77,62.4,62.4,196,196,1496.1,7.2,13038604.8,16.3834251148735
"112","In Compliance","2","20005",1929,"Office","Office",269472,343755,11554.7,"Whole Building","Whole Building",6092837,NA,76,60.5,60.5,189.9,189.9,2384,6.9,20797177.5,16.8503278383485
"113","In Compliance","2","20005",1991,"Office","Office",315944,237258,3505.5,"Whole Building","Whole Building",4501240,NA,73,64.7,64.7,203.3,203.3,1761.3,7.4,15350592.6,16.5466646371155
"114","In Compliance","2","20005",1997,"Office","Office",144144,131330,2546.2,"Whole Building","Whole Building",2039906,NA,82,53,52.6,166.4,165.2,798.2,6.1,6960490,15.7557604321313
"115","In Compliance","2","20004",1967,"Office","Office",511817,366128,10967.8,"Whole Building","Whole Building",8688133,NA,68,81,80.5,254.2,252.7,3399.6,9.3,29656368,17.2051874326917
"116","In Compliance","2","20005",1928,"Office","Office",294234,293248,11570.5,"Whole Building","Whole Building",6358559,NA,76,74,74,232.3,232.3,2488,8.5,21700352,16.8928390395773
"117","In Compliance","6","20002",1937,"Office","Office",442412,436178,4358.9,"Whole Building","Whole Building",7236418,5312.266424,85,57.8,56.7,179,175.1,2859.7,6.6,25211088.4,17.0427944715761
"118","In Compliance","2","20036",1964,"Office","Office",440029,297909,7272.2,"Whole Building","Whole Building",4757346,93661.1959,81,85.9,88.1,204.1,206.4,2359,7.9,25590383.1,17.0577271787156
"119","In Compliance","6","20004",2001,"Office","Office",233962,252992,3783.3,"Whole Building","Whole Building",5800589,NA,74,78.2,79.2,245.6,248.8,2269.4,9,19783974.4,16.8003827942076
"120","In Compliance","2","20004",1992,"Office","Office",641215,769685,9923,"Whole Building","Whole Building",11785070,NA,83,52.2,52.2,164,164,4611.3,6,40177557,17.5088191141089
